,cue,ftype,qid,question,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max,imagery_z,facts_z,difficulty_z,truth_normed,truth_agree,prop_visual
10,alligator,nonvisual,1,Is it a mammal?,no,6.0,-1.3333333333333333,1.6329931618554518,-2.0,2.0,2.0,1.7888543819998317,0.0,4.0,-1.1666666666666667,0.7527726527090811,-2.0,0.0,1.6666666666666667,1.0327955589886444,0.0,3.0,0.8914616520837498,0.9893622095508858,0.6767735901220738,no,1.0,0.5714285714285714
11,alligator,nonvisual,2,Does it live in the desert?,no,4.0,-1.75,0.5,-2.0,-1.0,1.5,1.7320508075688772,0.0,4.0,-1.25,0.957427107756338,-2.0,0.0,1.5,0.5773502691896257,1.0,2.0,0.11359945915959425,0.7344603670314107,0.4889738466457779,no,1.0,0.5714285714285714
12,alligator,nonvisual,3,Is it used for freight?,no,5.0,-0.8,1.6431676725154984,-2.0,1.0,1.2,1.3038404810405295,0.0,3.0,-1.2,0.8366600265340756,-2.0,0.0,2.0,1.224744871391589,0.0,3.0,-0.35311785659489914,1.4991658945898356,0.6016536927315557,no,1.0,0.5714285714285714
13,alligator,nonvisual,4,Is it found in summer?,no,7.0,0.8571428571428571,0.8997354108424372,0.0,2.0,1.8571428571428568,1.2149857925879115,0.0,4.0,-0.2857142857142857,1.3801311186847085,-2.0,1.0,2.4285714285714284,1.3972762620115438,0.0,4.0,0.6692153112482769,2.1546277753542,2.662085164014347,yes,0.0,0.5714285714285714
14,alligator,nonvisual,5,Is it a pet?,no,4.0,-1.5,0.5773502691896257,-2.0,-1.0,1.5,1.0,0.0,2.0,-0.75,1.2583057392117916,-2.0,1.0,1.0,1.1547005383792517,0.0,2.0,0.11359945915959425,-0.03024516052701416,1.6157723075035542,no,1.0,0.5714285714285714
15,alligator,visual,1,Does it have a long tongue?,no,4.0,0.25,0.5,0.0,1.0,2.5,0.5773502691896257,2.0,3.0,0.5,0.5773502691896257,0.0,1.0,1.75,0.957427107756338,1.0,3.0,1.669323845007905,1.116813130810623,4.4327684596479955,,,0.5714285714285714
16,alligator,visual,2,Is it grey?,no,5.0,-1.2,1.095445115010332,-2.0,0.0,1.8,1.4832396974191326,0.0,4.0,-1.6,0.547722557505166,-2.0,-1.0,0.2,0.4472135954999579,0.0,1.0,0.5803167749140876,-1.2537740046204942,-0.29978507595466564,no,1.0,0.5714285714285714
17,alligator,visual,3,Is it round?,no,7.0,-2.0,0.0,-2.0,-2.0,1.8571428571428568,1.8644544714716091,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.8571428571428571,1.5735915849388864,0.0,4.0,0.6692153112482769,-0.24873245411513564,-1.2012238446408865,no,1.0,0.5714285714285714
18,alligator,visual,4,Is it small?,no,8.0,-0.75,1.164964745021435,-2.0,1.0,1.375,1.407885953173359,0.0,4.0,-1.375,0.7440238091428449,-2.0,0.0,0.625,0.7440238091428449,0.0,2.0,-0.08086608907144464,-0.6037743061958328,0.20727423143133386,no,1.0,0.5714285714285714
19,alligator,visual,5,Is it made of metal?,no,8.0,-2.0,0.0,-2.0,-2.0,1.0,1.4142135623730951,0.0,4.0,-1.875,0.3535533905932738,-2.0,-1.0,0.25,0.7071067811865476,0.0,2.0,-0.6642627337645614,-1.1773034518646517,-0.9195242294264424,no,1.0,0.5714285714285714
20,apple,nonvisual,1,Is it a fruit?,yes,7.0,2.0,0.0,2.0,2.0,1.1428571428571428,1.9518001458970664,0.0,4.0,-1.8571428571428568,0.3779644730092273,-2.0,-1.0,1.0,1.5275252316519468,0.0,4.0,-0.4420163929290884,-0.03024516052701416,-0.8792814272529506,yes,1.0,0.23529411764705882
21,apple,nonvisual,2,Does it grow on trees?,yes,6.0,2.0,0.0,2.0,2.0,2.0,1.4142135623730951,0.0,4.0,-1.8333333333333333,0.4082482904638627,-2.0,-1.0,0.8333333333333334,0.7527726527090809,0.0,2.0,0.8914616520837498,-0.28514700304648904,-0.8256243576882942,yes,1.0,0.23529411764705882
22,apple,nonvisual,3,Is it eaten in pies?,yes,6.0,2.0,0.0,2.0,2.0,2.333333333333333,1.5055453054181622,0.0,4.0,-1.5,0.8366600265340756,-2.0,0.0,1.8333333333333333,1.6020819787597218,0.0,4.0,1.4100364473665203,1.2442640520703605,-0.07442538378311019,yes,1.0,0.23529411764705882
23,apple,nonvisual,4,Is it nutritious?,yes,8.0,1.875,0.3535533905932738,1.0,2.0,0.625,1.407885953173359,0.0,4.0,-1.75,0.4629100498862757,-2.0,-1.0,2.25,1.2817398889233114,0.0,4.0,-1.247659378457678,1.8815186583690482,-0.6378246142119983,yes,1.0,0.23529411764705882
24,apple,nonvisual,5,Is it used for cider?,yes,5.0,1.8,0.44721359549995815,1.0,2.0,0.6,0.8944271909999159,0.0,2.0,-1.8,0.44721359549995815,-2.0,-1.0,0.6,0.5477225575051661,0.0,1.0,-1.286552488103886,-0.6420095825737541,-0.7505044602977761,yes,1.0,0.23529411764705882
25,apple,visual,1,Is it red?,yes,8.0,0.25,0.7071067811865476,-1.0,1.0,2.625,1.0606601717798212,1.0,4.0,-1.375,0.9161253813129044,-2.0,0.0,0.625,0.7440238091428449,0.0,2.0,1.863789393238944,-0.6037743061958328,0.20727423143133386,,,0.23529411764705882
26,apple,visual,2,Is it green?,yes,3.0,0.0,0.0,0.0,0.0,2.333333333333333,1.1547005383792517,1.0,3.0,-1.0,1.0,-2.0,0.0,1.0,0.0,1.0,1.0,1.4100364473665203,-0.03024516052701416,1.0523730770746658,,,0.23529411764705882
27,apple,visual,3,Does it have seeds?,yes,6.0,1.5,0.8366600265340756,0.0,2.0,1.0,1.095445115010332,0.0,3.0,-1.6666666666666667,0.8164965809277259,-2.0,0.0,1.5,1.224744871391589,0.0,3.0,-0.6642627337645614,0.7344603670314107,-0.4500248707357024,yes,1.0,0.23529411764705882
28,apple,visual,4,Is it round?,yes,6.0,0.8333333333333334,1.1690451944500122,-1.0,2.0,3.0,1.095445115010332,2.0,4.0,-1.5,0.5477225575051661,-2.0,-1.0,1.5,1.9748417658131496,0.0,4.0,2.447186037932061,0.7344603670314107,-0.07442538378311019,yes,1.0,0.23529411764705882
29,apple,visual,5,Does it have a core?,yes,4.0,2.0,0.0,2.0,2.0,0.75,0.5,0.0,1.0,-2.0,0.0,-2.0,-2.0,1.25,1.5,0.0,3.0,-1.053193830226639,0.35210760325219825,-1.2012238446408865,yes,1.0,0.23529411764705882
30,apple,nonvisual,1,Is it an animal?,no,5.0,-1.8,0.44721359549995815,-2.0,-1.0,1.6,2.1908902300206643,0.0,4.0,-1.4,1.3416407864998738,-2.0,1.0,1.0,1.7320508075688772,0.0,4.0,0.2691718977444255,-0.03024516052701416,0.15093430838844527,no,1.0,0.23529411764705882
31,apple,nonvisual,2,Does it live in Africa?,no,5.0,-1.0,0.7071067811865476,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0,-1.0,1.224744871391589,-2.0,1.0,1.0,1.4142135623730951,0.0,3.0,-1.9088422424432103,-0.03024516052701416,1.0523730770746658,no,1.0,0.23529411764705882
32,apple,nonvisual,3,Is it fast?,no,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.2199871196128727,-1.559656215643864,-1.2012238446408865,no,1.0,0.23529411764705882
33,apple,nonvisual,4,Is it timid?,no,7.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,2.571428571428572,1.5118578920369092,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,2.142857142857143,1.6761634196950514,0.0,4.0,1.7804470154256422,1.7176531881779569,-0.2353965924770781,no,1.0,0.23529411764705882
34,apple,nonvisual,5,Is it used in experiments?,no,5.0,-0.6,0.8944271909999159,-2.0,0.0,0.4,0.8944271909999159,0.0,2.0,-0.8,1.3038404810405295,-2.0,1.0,0.2,0.4472135954999579,0.0,1.0,-1.5976973652735478,-1.2537740046204942,1.5030924614177763,no,1.0,0.23529411764705882
35,apple,visual,1,Is it black?,no,4.0,-2.0,0.0,-2.0,-2.0,1.5,1.7320508075688772,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.11359945915959425,-1.559656215643864,-1.2012238446408865,no,1.0,0.23529411764705882
36,apple,visual,2,Does it have pockets?,no,7.0,-2.0,0.0,-2.0,-2.0,1.0,1.5275252316519468,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.7142857142857143,1.2535663410560174,0.0,3.0,-0.6642627337645614,-0.4672197477032569,-1.2012238446408865,no,1.0,0.23529411764705882
37,apple,visual,3,Does it have a beak?,no,7.0,-1.8571428571428568,0.3779644730092273,-2.0,-1.0,1.5714285714285714,1.618347187425374,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,1.0,1.0,0.0,2.0,0.22472262957733072,-0.03024516052701416,-0.2353965924770781,no,1.0,0.23529411764705882
38,apple,visual,4,Does it have a hood?,no,5.0,-2.0,0.0,-2.0,-2.0,0.4,0.5477225575051661,0.0,1.0,-1.8,0.44721359549995815,-2.0,-1.0,0.0,0.0,0.0,0.0,-1.5976973652735478,-1.559656215643864,-0.7505044602977761,no,1.0,0.23529411764705882
39,apple,visual,5,Does it have eyes?,no,5.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.8,0.44721359549995815,-2.0,-1.0,0.4,0.8944271909999159,0.0,2.0,-2.2199871196128727,-0.947891793597124,-0.7505044602977761,no,1.0,0.23529411764705882
40,banana,nonvisual,1,Is it a fruit?,yes,7.0,1.8571428571428568,0.3779644730092273,1.0,2.0,0.8571428571428571,1.4638501094227998,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,0.7142857142857143,1.1126972805283737,0.0,3.0,-0.8865090746000344,-0.4672197477032569,-0.2353965924770781,yes,1.0,0.2857142857142857
41,banana,nonvisual,2,Does it taste good?,yes,7.0,1.0,1.0,0.0,2.0,0.5714285714285714,0.7867957924694432,0.0,2.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,1.4285714285714286,1.5118578920369088,0.0,3.0,-1.3310017562709804,0.6252167202373501,-0.5573390098650141,yes,1.0,0.2857142857142857
42,banana,nonvisual,3,Does it grow in tropical climates?,yes,5.0,1.4,0.8944271909999157,0.0,2.0,0.2,0.4472135954999579,0.0,1.0,-1.6,0.547722557505166,-2.0,-1.0,1.0,1.4142135623730951,0.0,3.0,-1.9088422424432103,-0.03024516052701416,-0.29978507595466564,yes,1.0,0.2857142857142857
43,banana,nonvisual,4,Is it healthy?,yes,6.0,1.0,1.5491933384829668,-2.0,2.0,1.0,0.8944271909999159,0.0,2.0,-1.6666666666666667,0.5163977794943221,-2.0,-1.0,1.3333333333333333,1.5055453054181618,0.0,3.0,-0.6642627337645614,0.4795585245119357,-0.4500248707357024,yes,1.0,0.2857142857142857
44,banana,visual,1,Is it yellow?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.75,1.2583057392117916,1.0,4.0,-1.5,1.0,-2.0,0.0,2.25,1.5,1.0,4.0,2.058254941469983,1.8815186583690482,-0.07442538378311019,yes,1.0,0.2857142857142857
45,banana,visual,2,Is it long?,yes,8.0,0.5,0.5345224838248488,0.0,1.0,2.25,1.035098339013531,1.0,4.0,-1.125,0.6408699444616557,-2.0,0.0,0.375,0.7440238091428449,0.0,2.0,1.2803927485458275,-0.9861270699750452,0.7706734618602221,yes,1.0,0.2857142857142857
46,banana,visual,3,Does it have a peel?,yes,4.0,1.5,1.0,0.0,2.0,1.5,1.914854215512676,0.0,4.0,-1.25,1.5,-2.0,1.0,0.75,1.5,0.0,3.0,0.11359945915959425,-0.4125979243062266,0.4889738466457779,yes,1.0,0.2857142857142857
47,banana,visual,4,Does it have a skin?,yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,1.0,1.0,0.0,2.0,-1.0,1.0,-2.0,0.0,0.6666666666666666,0.5773502691896258,0.0,1.0,-0.6642627337645614,-0.5400488455659641,1.0523730770746658,yes,1.0,0.2857142857142857
48,banana,nonvisual,1,Is it fast?,no,7.0,-1.4285714285714286,0.7867957924694431,-2.0,0.0,1.4285714285714286,1.618347187425374,0.0,4.0,-1.0,1.2909944487358056,-2.0,1.0,0.42857142857142855,1.1338934190276817,0.0,3.0,0.0024762887418577927,-0.9041943348794996,1.0523730770746658,no,1.0,0.2857142857142857
49,banana,nonvisual,2,Is it worn in cold temperatures?,no,8.0,-1.5,1.4142135623730951,-2.0,2.0,1.375,1.5059406173077154,0.0,4.0,-1.875,0.3535533905932738,-2.0,-1.0,0.875,0.9910312089651148,0.0,2.0,-0.08086608907144464,-0.2214215424166204,-0.9195242294264424,no,1.0,0.2857142857142857
50,banana,nonvisual,3,Does it have different speeds?,no,5.0,-1.8,0.44721359549995815,-2.0,-1.0,1.6,1.8165902124584952,0.0,4.0,-1.4,1.3416407864998738,-2.0,1.0,0.6,1.3416407864998738,0.0,3.0,0.2691718977444255,-0.6420095825737541,0.15093430838844527,no,1.0,0.2857142857142857
51,banana,nonvisual,4,Is it a container?,no,5.0,-1.6,0.8944271909999157,-2.0,0.0,1.4,1.1401754250991378,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0,-0.041972979425237,-1.2537740046204942,-0.29978507595466564,no,1.0,0.2857142857142857
52,banana,visual,1,Does it have feathers?,no,6.0,-2.0,0.0,-2.0,-2.0,1.3333333333333333,1.5055453054181618,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.6666666666666666,1.6329931618554518,0.0,4.0,-0.14568793848179104,-0.5400488455659641,-1.2012238446408865,no,1.0,0.2857142857142857
53,banana,visual,2,Does it have a tail?,no,4.0,-1.25,1.5,-2.0,1.0,1.5,1.7320508075688772,0.0,3.0,-1.75,0.5,-2.0,-1.0,1.25,1.8929694486000912,0.0,4.0,0.11359945915959425,0.35210760325219825,-0.6378246142119983,no,1.0,0.2857142857142857
54,banana,visual,3,Does it have a beak?,no,5.0,-2.0,0.0,-2.0,-2.0,2.0,1.224744871391589,1.0,4.0,-2.0,0.0,-2.0,-2.0,1.4,1.3416407864998738,0.0,3.0,0.8914616520837498,0.5815192615197255,-1.2012238446408865,no,1.0,0.2857142857142857
55,banana,visual,4,Does it have hooves?,no,5.0,-2.0,0.0,-2.0,-2.0,1.2,0.44721359549995787,1.0,2.0,-2.0,0.0,-2.0,-2.0,1.2,1.3038404810405295,0.0,3.0,-0.35311785659489914,0.2756370504963557,-1.2012238446408865,no,1.0,0.2857142857142857
56,bike,nonvisual,1,Is is used for riding?,yes,4.0,2.0,0.0,2.0,2.0,1.5,1.914854215512676,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.11359945915959425,-1.559656215643864,-1.2012238446408865,yes,1.0,0.6666666666666666
57,bike,nonvisual,2,Is it used for racing?,yes,6.0,1.0,1.2649110640673518,-1.0,2.0,1.3333333333333333,1.2110601416389968,0.0,3.0,-1.5,0.5477225575051661,-2.0,-1.0,1.0,1.6733200530681511,0.0,4.0,-0.14568793848179104,-0.03024516052701416,-0.07442538378311019,yes,1.0,0.6666666666666666
58,bike,nonvisual,3,Does it have different speeds?,yes,10.0,1.1,0.7378647873726218,0.0,2.0,1.5,1.3540064007726598,0.0,4.0,-1.5,0.5270462766947299,-2.0,-1.0,0.6,1.2649110640673518,0.0,4.0,0.11359945915959425,-0.6420095825737541,-0.07442538378311019,yes,1.0,0.6666666666666666
59,bike,nonvisual,4,Is it fast?,yes,4.0,0.25,0.5,0.0,1.0,1.25,0.957427107756338,0.0,2.0,-1.25,0.957427107756338,-2.0,0.0,1.0,1.4142135623730951,0.0,3.0,-0.2753316373024836,-0.03024516052701416,0.4889738466457779,,,0.6666666666666666
60,bike,visual,1,Does it have handle bars?,yes,6.0,1.6666666666666667,0.5163977794943221,1.0,2.0,1.8333333333333333,1.4719601443879744,0.0,4.0,-1.8333333333333333,0.4082482904638627,-2.0,-1.0,0.5,0.8366600265340756,0.0,2.0,0.6321742544423645,-0.794950688085439,-0.8256243576882942,yes,1.0,0.6666666666666666
61,bike,visual,2,Does it have a seat?,yes,6.0,1.8333333333333333,0.4082482904638627,1.0,2.0,1.5,1.9748417658131496,0.0,4.0,-1.8333333333333333,0.4082482904638627,-2.0,-1.0,0.3333333333333333,0.8164965809277259,0.0,2.0,0.11359945915959425,-1.0498525306049142,-0.8256243576882942,yes,1.0,0.6666666666666666
62,bike,visual,3,Does it have gears?,yes,4.0,0.75,0.957427107756338,0.0,2.0,1.75,1.707825127659933,0.0,4.0,-1.5,0.5773502691896257,-2.0,-1.0,2.0,1.4142135623730951,1.0,4.0,0.502530555621672,1.4991658945898356,-0.07442538378311019,yes,1.0,0.6666666666666666
63,bike,visual,4,Is it made of metal?,yes,4.0,1.0,1.4142135623730951,-1.0,2.0,1.25,1.2583057392117916,0.0,3.0,-1.5,0.5773502691896257,-2.0,-1.0,0.25,0.5,0.0,1.0,-0.2753316373024836,-1.1773034518646517,-0.07442538378311019,yes,1.0,0.6666666666666666
64,bike,nonvisual,1,Does it live in Africa?,no,4.0,-1.25,0.957427107756338,-2.0,0.0,0.5,1.0,0.0,2.0,-1.25,0.957427107756338,-2.0,0.0,0.0,0.0,0.0,0.0,-1.4421249266887168,-1.559656215643864,0.4889738466457779,no,1.0,0.6666666666666666
65,bike,nonvisual,2,Is it nocturnal?,no,5.0,-1.6,0.8944271909999157,-2.0,0.0,0.8,1.3038404810405295,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0,-0.9754076109342236,-1.2537740046204942,-0.29978507595466564,no,1.0,0.6666666666666666
66,bike,nonvisual,3,Is it a mammal?,no,5.0,-1.2,1.7888543819998317,-2.0,2.0,0.8,1.7888543819998317,0.0,4.0,-1.2,1.7888543819998317,-2.0,2.0,0.8,1.7888543819998317,0.0,4.0,-0.9754076109342236,-0.3361273715503839,0.6016536927315557,no,1.0,0.6666666666666666
67,bike,nonvisual,4,Is it found at tables?,no,4.0,-2.0,0.0,-2.0,-2.0,1.25,0.957427107756338,0.0,2.0,-1.25,0.5,-2.0,-1.0,0.75,0.957427107756338,0.0,2.0,-0.2753316373024836,-0.4125979243062266,0.4889738466457779,no,1.0,0.6666666666666666
68,bike,visual,1,Does it have legs?,no,7.0,-2.0,0.0,-2.0,-2.0,1.0,1.4142135623730951,0.0,4.0,-1.8571428571428568,0.3779644730092273,-2.0,-1.0,0.2857142857142857,0.7559289460184545,0.0,2.0,-0.6642627337645614,-1.1226816284676209,-0.8792814272529506,no,1.0,0.6666666666666666
69,bike,visual,2,Is it made of plastic?,no,8.0,-1.125,0.9910312089651148,-2.0,0.0,1.625,1.1877349391654208,0.0,3.0,-0.75,0.8864052604279183,-2.0,1.0,1.5,1.1952286093343936,0.0,3.0,0.30806500739063314,0.7344603670314107,1.6157723075035542,no,1.0,0.6666666666666666
70,bike,visual,3,Does it have feet?,no,7.0,-2.0,0.0,-2.0,-2.0,1.1428571428571428,1.4638501094227998,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.14285714285714285,0.3779644730092273,0.0,1.0,-0.4420163929290884,-1.3411689220557426,-1.2012238446408865,no,1.0,0.6666666666666666
71,bike,visual,4,Does it have sleeves?,no,6.0,-2.0,0.0,-2.0,-2.0,1.0,1.2649110640673518,0.0,3.0,-1.8333333333333333,0.4082482904638627,-2.0,-1.0,0.3333333333333333,0.8164965809277259,0.0,2.0,-0.6642627337645614,-1.0498525306049142,-0.8256243576882942,no,1.0,0.6666666666666666
72,bottle,nonvisual,1,Is it used for holding things?,yes,9.0,1.4444444444444444,1.0137937550497031,-1.0,2.0,2.6666666666666665,1.5,0.0,4.0,-1.2222222222222223,1.3017082793177757,-2.0,2.0,1.2222222222222223,1.3944333775567923,0.0,4.0,1.9286112426492903,0.30962396283228594,0.5515737611378764,yes,1.0,0.35714285714285715
73,bottle,nonvisual,2,Is it used for holding liquids?,yes,5.0,1.4,0.8944271909999157,0.0,2.0,1.4,0.8944271909999157,1.0,3.0,-1.6,0.547722557505166,-2.0,-1.0,0.8,0.8366600265340756,0.0,2.0,-0.041972979425237,-0.3361273715503839,-0.29978507595466564,yes,1.0,0.35714285714285715
74,bottle,nonvisual,3,Is it a container?,yes,6.0,0.8333333333333334,1.3291601358251257,-1.0,2.0,2.0,1.4142135623730951,0.0,4.0,-0.8333333333333334,1.3291601358251257,-2.0,1.0,1.6666666666666667,0.8164965809277259,1.0,3.0,0.8914616520837498,0.9893622095508858,1.4279725640272583,yes,1.0,0.35714285714285715
75,bottle,nonvisual,4,Is it breakable?,yes,4.0,0.75,0.5,0.0,1.0,2.0,1.4142135623730951,0.0,3.0,-1.0,0.8164965809277259,-2.0,0.0,1.0,0.8164965809277259,0.0,2.0,0.8914616520837498,-0.03024516052701416,1.0523730770746658,yes,1.0,0.35714285714285715
76,bottle,nonvisual,5,Is it used for holding beer?,yes,4.0,1.25,0.957427107756338,0.0,2.0,2.0,1.4142135623730951,0.0,3.0,-1.25,0.957427107756338,-2.0,0.0,1.0,1.4142135623730951,0.0,3.0,0.8914616520837498,-0.03024516052701416,0.4889738466457779,yes,1.0,0.35714285714285715
77,bottle,visual,1,Is it made of glass?,yes,4.0,1.0,0.8164965809277259,0.0,2.0,2.0,0.8164965809277259,1.0,3.0,-1.5,0.5773502691896257,-2.0,-1.0,1.25,0.957427107756338,0.0,2.0,0.8914616520837498,0.35210760325219825,-0.07442538378311019,yes,1.0,0.35714285714285715
78,bottle,visual,2,Is it made of plastic?,yes,5.0,0.6,0.5477225575051661,0.0,1.0,2.4,1.3416407864998738,1.0,4.0,-1.2,0.8366600265340756,-2.0,0.0,0.8,0.8366600265340756,0.0,2.0,1.5137514064230742,-0.3361273715503839,0.6016536927315557,yes,1.0,0.35714285714285715
79,bottle,visual,3,Does it have a lid?,yes,4.0,0.0,1.8257418583505536,-2.0,2.0,2.5,0.5773502691896257,2.0,3.0,-1.5,1.0,-2.0,0.0,0.25,0.5,0.0,1.0,1.669323845007905,-1.1773034518646517,-0.07442538378311019,,,0.35714285714285715
80,bottle,visual,4,Does it have a neck?,yes,5.0,1.4,0.8944271909999157,0.0,2.0,2.2,1.0954451150103324,1.0,3.0,-1.4,0.547722557505166,-2.0,-1.0,1.4,0.8944271909999157,1.0,3.0,1.2026065292534125,0.5815192615197255,0.15093430838844527,yes,1.0,0.35714285714285715
81,bottle,visual,5,Does it have a cork?,yes,7.0,-0.42857142857142855,0.7867957924694432,-2.0,0.0,1.2857142857142858,1.3801311186847085,0.0,4.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,0.2857142857142857,0.4879500364742666,0.0,1.0,-0.21977005209361514,-1.1226816284676209,-0.5573390098650141,no,0.0,0.35714285714285715
82,bottle,nonvisual,1,Is it an animal?,no,7.0,-1.5714285714285714,1.1338934190276817,-2.0,1.0,0.5714285714285714,0.7867957924694432,0.0,2.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,0.7142857142857143,1.2535663410560174,0.0,3.0,-1.3310017562709804,-0.4672197477032569,-0.2353965924770781,no,1.0,0.35714285714285715
83,bottle,nonvisual,2,Is it juicy?,no,4.0,-2.0,0.0,-2.0,-2.0,1.25,1.2583057392117916,0.0,3.0,-1.75,0.5,-2.0,-1.0,0.25,0.5,0.0,1.0,-0.2753316373024836,-1.1773034518646517,-0.6378246142119983,no,1.0,0.35714285714285715
84,bottle,nonvisual,3,Is it a carnivore?,no,5.0,-2.0,0.0,-2.0,-2.0,1.0,1.7320508075688772,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.8,1.7888543819998317,0.0,4.0,-0.6642627337645614,-0.3361273715503839,-1.2012238446408865,no,1.0,0.35714285714285715
85,bottle,nonvisual,4,Does it fly?,no,5.0,-2.0,0.0,-2.0,-2.0,0.4,0.5477225575051661,0.0,1.0,-2.0,0.0,-2.0,-2.0,0.8,1.3038404810405295,0.0,3.0,-1.5976973652735478,-0.3361273715503839,-1.2012238446408865,no,1.0,0.35714285714285715
