cue,ftype,qid,question,response
chair,nonvisual,5,Is it found at tables?,yes
chair,visual,5,Does it have a cushion?,yes
chair,nonvisual,4,Is it used in circuses?,no
chair,visual,2,Does it have a tail?,no
chicken,nonvisual,4,Is it worn for the rain?,no
chicken,visual,2,Is it yellow?,no
deer,nonvisual,1,Is it hunted by people?,yes
deer,visual,1,Does it have antlers?,yes
deer,visual,3,Does it have eyes?,yes
deer,visual,4,Does it have hooves?,yes
deer,visual,4,Does it have a cushion?,no
dog,nonvisual,3,Is it a pet?,yes
dog,nonvisual,1,Does it hop?,no
dog,nonvisual,3,Is it eaten as bacon?,no
dog,nonvisual,5,Does it lay eggs?,no
dog,visual,5,Does it have a mask?,no
donkey,nonvisual,2,Is it like a horse?,yes
donkey,visual,4,Is it small?,no
elephant,visual,4,Does it have a tail?,yes
elephant,visual,5,Does it have large ears?,yes
giraffe,nonvisual,4,Is it a mammal?,yes
giraffe,nonvisual,2,Is it hunted by people?,no
grasshopper,nonvisual,1,Does it require a conductor?,no
jacket,nonvisual,1,Is it clothing?,yes
jacket,nonvisual,2,Does it eat leaves?,no
jacket,visual,3,Is it tall?,no
lion,nonvisual,3,Is it a mammal?,yes
lion,nonvisual,4,Does it live in jungles?,yes
lion,visual,4,Does it have teeth?,yes
lion,nonvisual,4,Does it lay eggs?,no
lion,visual,3,Does it have wings?,no
lion,visual,5,Does it have a long neck?,no
mouse,nonvisual,3,Does it live in zoos?,no
mouse,visual,2,Is it large?,no
penguin,nonvisual,1,Is it a bird?,yes
penguin,nonvisual,5,Does it eat grain?,no
pig,visual,5,Is it muddy?,yes
pig,nonvisual,1,Is it tropical?,no
pig,nonvisual,2,Is it a bird?,no
pig,visual,2,Does it have wings?,no
pig,visual,4,Does it have feathers?,no
pineapple,nonvisual,4,Does it grow in Hawaii?,yes
pineapple,nonvisual,5,Is it prickly?,yes
pineapple,visual,4,Is it yellow inside?,yes
pineapple,nonvisual,4,Is it used for racing?,no
pineapple,visual,1,Does it have legs?,no
pineapple,visual,2,Does it have a seat?,no
pineapple,visual,3,Does it have whiskers?,no
pineapple,visual,5,Does it have a tail?,no
rabbit,nonvisual,5,Does it eat carrots?,yes
rabbit,visual,2,Does it have feet?,yes
rabbit,visual,4,Does it have a tail?,yes
rabbit,visual,3,Does it have a seat?,no
rabbit,visual,4,Is it flat?,no
raccoon,nonvisual,1,Does it hop?,no
raccoon,nonvisual,3,Is it used for holding beer?,no
strawberry,visual,3,Does it have green leaves?,yes
strawberry,visual,2,Does it have a tail?,no
swan,nonvisual,3,Is it found in dining rooms?,no
swan,visual,1,Does it have a hump?,no
table,nonvisual,2,Is it found in kitchens?,yes
table,visual,2,Is it round?,yes
table,visual,4,Is it flat?,yes
table,nonvisual,3,Is it healthy?,no
table,visual,1,Does it have a neck?,no
table,visual,2,Does it have a nose?,no
table,visual,3,Does it have a tail?,no
tiger,visual,5,Does it have warts?,no
toad,nonvisual,4,Does it taste good?,no
train,visual,2,Does it have an engine?,yes
train,nonvisual,1,Is it a fruit?,no
zebra,nonvisual,3,Does it live in Africa?,yes
zebra,nonvisual,2,Is it used for eating on?,no
zebra,visual,2,Does it have antennae?,no
