V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,Unnamed: 120
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-24 11:27:13,2016-02-24 11:33:10,1,PV108,LL-Kramer,,,1,"We saw an explanation then heard a word and were suppose to identify, yes or no, whether the explanation was true. ","Nothing specific, just hear the word. I developed what I thought it was before the word actually came up. ",I thought it made it quicker over time. ,Differences after it said to speed up. ,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,3,5,2,4,5,5,3,5,5,2,3,5,5,5,3,4,4,4,5,5,1,2,5,3,5,5,5,3,2,4,1,5,1,5,5,5,5,4,1,5,1,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,1,5,3,3,5,2,5,5,5,4,2,5,5,5,1,3,3,3,2,5,
Default Response Set,Anonymous,,,128.104.131.183,0,2016-02-24 11:25:59,2016-02-24 11:33:23,1,PV107,LL-Jerry,,,1,I had to look at questions as they popped up on the screen and say whether or not they were correct for the word that was said to me through the headphones. ,I tried to use both of my hands to answer the question. One finger from each had on either the yes or the no key. I think that it was more effective then when I was just using one of my hands. ,"Yes, I tried to look at the patterns when they were present. I don't think they had a very large effect on my performance answering the questions. ",The response times it took to answer many simple questions when looking at an obstructing view that might make it hard to focus on the questions. ,1,1,1,3,3,2,4,4,4,3,4,5,4,1,1,3,3,1,3,1,5,4,1,4,4,1,4,1,1,3,1,3,4,2,4,1,3,5,4,2,3,5,1,4,3,3,1,2,1,1,2,3,4,2,1,5,5,3,2,1,2,4,2,1,3,1,3,3,4,3,4,2,1,4,1,1,2,1,4,1,5,4,1,5,4,2,1,2,2,4,1,3,1,1,1,3,2,1,4,1,2,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-24 13:33:45,2016-02-24 13:42:49,1,PV110,LL-Kramer,,,1,I was supposed to read the question on the screen and select yes or no on the keyboard depending on the word I heard in the headphones. I was also supposed to keep my eyes on the screen.,"After seeing the question I thought of the possible answers in my head, or the answers I thought it might be. Then, if I heard one of these options I would hit yes immediately (much faster than I normally would).","Yes, they had a little effect on my performance just because it's distracting to the thought process. However, if I used my strategy mentioned above it had less of an effect.",How fast we associate words with their characteristics as well as the effectiveness of visual distractions to the thought process.,1,4,4,3,4,3,1,3,4,5,4,2,2,4,4,1,1,1,2,1,4,4,2,2,1,2,1,1,1,2,2,2,4,3,3,2,3,3,2,2,3,5,4,4,2,4,1,1,1,3,2,2,3,3,1,3,4,3,2,1,1,5,3,1,2,2,1,4,3,4,2,5,4,5,3,5,3,3,5,4,4,1,2,4,5,4,4,3,3,2,3,1,2,4,3,2,3,1,2,1,2,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-24 14:10:44,2016-02-24 14:21:03,1,PV111,LL-Kramer,,,1,"The computer would ask a question, and the the experimenter would click the up or down arrows to answer yes or no respectively to the question.","I would hove my hand above the keyboard while the question was asked, click the arrow, and then rest my hand on the table. I think it helped eliminate wasted time moving my hand to answer the question. ","I looked at the patterns for a little bit, but it hurt my eyes. I don't think it hurt my performance that much.",Does additional stimuli like flashing colors help or hurt memory retrieval.,1,1,3,4,4,2,4,4,3,3,2,4,4,1,1,4,1,1,2,1,4,1,1,3,2,1,4,3,1,3,2,4,3,2,2,1,4,2,4,1,4,3,4,3,4,4,1,3,1,1,4,1,4,4,5,4,4,4,2,4,3,3,4,1,4,2,1,4,3,3,1,1,4,2,1,1,1,1,3,3,3,4,4,2,1,4,4,4,3,4,3,1,4,4,4,4,4,1,2,1,1,
Default Response Set,Anonymous,,,128.104.131.183,0,2016-02-24 16:22:00,2016-02-24 16:27:04,1,PV113,LL-Jerry,,,1,"I saw a question, heard an answer, and was to determine if the answer was correct. ",I anticipated the answer after hearing the same answers repeatedly. It worked occasionally.,They decreased my performance and interrupted my concentration. ,Probably if the brain is distracted by the picture. ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,
Default Response Set,Anonymous,,,128.104.131.0,0,2016-02-24 16:17:06,2016-02-24 16:29:05,1,PV112,LL-ELAINE,,,1,There was a question written on the screen. A word would be verbalized in the headphones and I would have to answer yes or no to whether the word answered the question correctly. ,"If a question was obvious or hinted as an answer, ""such as does it live in a coop"", I would have the word chicken in mind and it was easy to click yes or no quickly. ","Yes, at first it disoriented me to the answer. But once it was present I believe I got used to the effect and was able to answer questions at a similar rate as when it was not there. ",Does visual stimulation affect the recollection of memories.  / OR at one point I thought the word was being said louder in my headphones or only on one side so does having both temporal? lobes involved in hearing the word help with recollection of memories. ,1,3,1,3,4,4,4,5,5,4,4,4,4,3,2,3,1,2,4,1,4,2,1,3,1,1,3,1,1,2,1,1,3,4,3,1,4,3,3,5,4,3,2,4,3,5,1,1,1,1,1,2,1,2,1,1,5,2,2,1,1,5,3,1,1,2,2,3,4,5,4,4,4,3,2,4,4,4,4,5,3,3,5,3,4,2,5,4,4,1,1,1,1,2,1,2,2,1,3,1,2,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-02-24 16:24:17,2016-02-24 16:30:29,1,PV115,LL-George,,,1,were given a description and then Heard words that would trigger if they were assocated with previous definiton,I thought of possible answers that were already in the bank of questions and help my finger on the one i thought it would be and then quickly moved it if it wasnt a possible one.,yes. I dont but i believe they were to confuse us and do worse. IT would take away our concentraton,See the reaction time of having a distraction and comparing it to no distraction,1,5,3,3,3,3,3,3,4,3,3,5,3,3,5,4,3,3,4,3,3,3,4,4,4,3,4,3,3,4,3,3,3,4,3,3,5,3,4,3,4,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,5,3,3,3,2,3,3,3,4,3,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-24 16:22:34,2016-02-24 16:31:03,1,PV114,LL-Kramer,,,1,"I read a question and then a voice said a word after the question.  If it were true, I pressed the up arrow.  If it were false, I pressed the down arrow.  Sometimes there was a random colored box.",No I did not.,Yes.  It kept me engaged in the question.,They hope to find how to retrieve information quickly from the memory.,1,4,5,4,4,2,4,1,3,4,2,1,2,2,1,2,3,1,4,1,5,4,2,2,2,1,2,2,1,2,3,1,4,1,1,1,1,3,3,1,3,1,4,2,4,4,1,3,2,2,1,1,3,2,1,1,4,2,2,1,1,2,3,1,1,2,1,4,3,2,2,1,1,1,1,1,3,1,2,1,2,1,1,2,2,1,4,3,2,3,1,1,1,3,4,1,3,1,4,1,2,
Default Response Set,Anonymous,,,128.104.131.0,0,2016-02-29 14:51:52,2016-02-29 14:56:08,1,PV118,LL-ELAINE,,,1,You saw and question and then was asked to answer yes or no to that question based on the thing they announced.,I didn't have a specific strategy besides keeping my finger on the keyboard.,"They were a little distracting, but not to the point where they made me get the wrong answer. ",I think they are looking for how easily someone can get distracted and what happens when they become tired and fed up with the activity.,1,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,3,5,5,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-02-29 14:52:49,2016-02-29 14:57:02,1,PV116,LL-Kramer,,,1,"After reading a sentence displayed on the screen, I would hear a word and have to answer yes or no depending on the accuracy of the two given.","pay attention well, and listen well. Yes it worked well","yes, slight forgetfulness of the sentence displayed ",how fast one is able to make comparisons regarding sets of things,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-02-29 14:52:51,2016-02-29 14:58:46,1,PV117,LL-George,,,1,I saw a question and had to hit up or down depending on whether the word that was played matched that question,I just tried to stay focused.  The questions that hit the wrong button for by mistake was during period where my mind wandered a little bit,It made it more difficult to focus,Whether the flashing patterns aided or hindered our abilities,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-03-01 14:39:41,2016-03-01 14:45:53,1,PV119,LL-Kramer,,,1,"I saw questions, then heard different objects, and I was responsible to say whether or not the question related to the object.",My strategy was trying to guess the objects that could fit into that category. For the majority of the questions it did help. ,"Yes, I think the flashing patterns made me perform worse because they made me tired. ",If stimuli effects the response time to questions. ,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,3,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-03-01 14:40:49,2016-03-01 14:46:42,1,PV120,LL-George,,,1,I saw a yes or no question and then I heard a word and had to answer yes or no using the arrow keys.,I just had my fingers already on the arrow keys so I could press them quickly. ,I tried to but I found myself adverting my eyes. They made my vision weird for a second so I was worried I would miss the next question. ,"I'm not really sure, maybe something about visual and auditory stimulus and how fast they produce a response.",1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,
Default Response Set,Anonymous,,,128.104.131.186,0,2016-03-03 16:07:55,2016-03-03 16:13:29,1,PV121,LL-Kramer,,,1,You saw a question and then heard a word.  You were supposed to answer yes or no whether the word fit the question.,Ya i looked at the key word in the question and then compared that to the word given.  I think it worked.,"Ya I did and it kind of throws you off for a second makes you think about something else, so probably a negative effect.",How quickly you can process hearing and reaction with or without the flashing patterns. ,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,
Default Response Set,Anonymous,,,128.104.131.0,0,2016-03-03 16:12:07,2016-03-03 16:17:21,1,PV123,LL-ELAINE,,,1,I was supposed to read the questions off of the screen and then was given a word through the headphones. I was then supposed to answer yes or no if the question applied to the object.,I repeated the question in my head when I read it so that I could try to associate it with the word quickly. I think this may have helped a little with my timing. ,"I did, but did not think they had much effect. I was able to answer them as quickly as I could have when they weren't present.",How long it takes for the brain to react and associate two ideas together.,1,4,4,5,4,4,4,3,4,5,5,5,5,2,3,3,3,4,3,4,5,3,2,4,3,2,4,3,3,3,3,3,4,5,5,4,4,2,5,3,4,3,4,4,4,3,3,4,3,2,4,4,4,3,3,3,4,4,4,3,3,3,4,4,5,4,2,4,4,3,4,5,4,3,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,5,4,4,4,3,3,2,3,5,3,4,3,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-03-03 16:11:11,2016-03-03 16:20:25,1,PV122,LL-George,,,1,"I saw a question presented on the screen and then I was given a word through the headset. If the word I heard was a correct answer to the question, the up/""yes"" button was pushed, or if not, the down/""no"" button was pushed.","I don't think I had a particular strategy. However, after a period of time I had a good idea of what words were in the set being spoken to me and certain questions could only have a few possible answers. So if I didn't hear the correct word I needed, it was a lot quicker for me to make my decision.",I did look at the flashing patterns when they were present. I don't think they had any effect on my performance.,"I assume there is something they are trying to find with the flashing patterns and their effect on the participant's performance, but I am not exactly sure.",1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,3,5,4,5,5,4,5,3,3,5,4,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,4,5,5,5,5,4,3,5,5,4,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,4,5,5,5,4,5,
Default Response Set,Anonymous,,,128.104.131.70,0,2016-03-04 12:23:55,2016-03-04 12:31:39,1,PV124,LL-George,,,1,"I was given an explanation such as ""does it have wings"" on a screen and then a word through my head phones would sound and I would either press  the up arrow or down depending on the word. ",sometimes closing my eyes helped and yes i think it worked,i think they helped my performance versus not showing anything at all ,With different stimuli in front of the participant their reaction time would be different. ,1,1,2,3,3,3,3,2,2,4,3,1,2,2,4,5,3,1,2,2,2,2,4,3,1,1,1,4,1,3,3,2,3,1,4,2,3,3,4,4,2,4,3,2,4,2,1,3,1,1,1,3,2,4,1,3,3,4,1,1,1,4,4,1,2,4,2,2,4,4,3,3,2,2,3,3,3,4,2,2,2,2,1,4,4,4,4,2,4,1,3,3,1,2,3,3,4,1,4,1,1,
Default Response Set,Anonymous,,,128.104.131.183,0,2016-03-04 12:24:35,2016-03-04 12:31:50,1,PV126,LL-Jerry,,,1,"I was given a question and then a word was presented after a question mark. If it was correct, I would push the upwards arrow and if it was incorrect, I would press the downwards arrow. ",I would keep my finger over both keys while reading the question and sometimes I would try and anticipate the answer. I think it worked pretty well over all. I got some wrong but for the majority of the time it worked.,I did look at the flashing patterns. I don't think they had much of an effect on my performance but they were a tad bit distracting. ,I believe they are looking for the impacts that external stimuli (e.g. flashing stimuli) have on processing information. ,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,3,2,1,2,1,2,2,1,1,2,2,2,2,1,2,1,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,3,1,2,2,2,2,3,2,2,1,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,
Default Response Set,Anonymous,,,128.104.131.0,0,2016-03-04 12:27:09,2016-03-04 12:34:26,1,PV125,LL-ELAINE,,,1,"Asked a question on the screen, then supposed to respond yes or no regarding if the word heard through headphones corresponded to the question. ",I had one hand on the up arrow and one hand on the down arrow to try and answer as quickly as possible. I think it worked well. ,I did look at the flashing patterns. They were kind of distracting but I don't think they made much of an effect on my performance. ,To see if distractions slow down retrieval time from memory and to see if there are common questions and answers that people were able to do faster than others. ,1,2,1,1,2,2,1,1,3,2,3,1,1,1,1,1,1,3,3,1,1,3,1,3,1,1,3,1,3,1,1,1,1,3,3,1,1,1,2,2,2,2,2,1,3,3,1,2,1,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,1,2,2,1,3,3,3,3,3,3,1,2,2,3,3,1,3,1,3,2,1,3,3,3,3,1,1,1,1,2,1,1,1,1,3,1,1,
