cue,ftype,qid,question,truth_coded,count,truth_mean,truth_std,truth_min,truth_max,senses_mean,senses_std,senses_min,senses_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,truth_z,senses_z,difficulty_z,truth_normed,truth_agree
alligator,nonvisual,1,Is it a mammal?,no,4.0,-1.0,2.0,-2.0,2.0,2.75,1.2583057392117916,1.0,4.0,-1.5,0.5773502691896257,-2.0,-1.0,-0.6164467484292504,0.6787298536957478,-0.37899088281373067,,
alligator,nonvisual,2,Does it live in the desert?,no,4.0,-2.0,0.0,-2.0,-2.0,3.5,1.7320508075688772,1.0,5.0,-1.75,0.5,-2.0,-1.0,-1.2662188969338077,1.5593566048077177,-0.834538782458208,no,1.0
alligator,nonvisual,3,Is it used for freight?,no,4.0,-1.75,0.5,-2.0,-1.0,3.75,1.5,2.0,5.0,-1.0,0.816496580927726,-2.0,0.0,-1.1037758598076683,1.8528988551783743,0.5321049164752241,no,1.0
alligator,nonvisual,4,Is it found in summer?,no,5.0,1.0,1.0,0.0,2.0,3.2,0.8366600265340751,2.0,4.0,-0.2,0.8366600265340756,-1.0,1.0,0.6830975485798644,1.2071059043629297,1.9898581953375518,yes,0.0
alligator,nonvisual,5,Is it a pet?,no,4.0,-2.0,0.0,-2.0,-2.0,3.0,1.8257418583505538,1.0,5.0,-1.5,0.5773502691896257,-2.0,-1.0,-1.2662188969338077,0.9722721040664043,-0.37899088281373067,no,1.0
alligator,visual,1,Does it have a long tongue?,no,10.0,-0.2,1.2292725943057183,-2.0,2.0,2.8,1.4757295747452435,1.0,5.0,-0.4,1.07496769977314,-2.0,1.0,-0.09662902962560455,0.7374383037698788,1.6254198756219698,,
alligator,visual,2,Is it grey?,no,4.0,-1.0,0.816496580927726,-2.0,0.0,2.0,2.0,1.0,5.0,-1.0,0.816496580927726,-2.0,0.0,-0.6164467484292504,-0.20189689741622208,0.5321049164752241,no,1.0
alligator,visual,3,Is it round?,no,9.0,-1.8888888888888888,0.33333333333333276,-2.0,-1.0,1.1111111111111112,0.3333333333333334,1.0,2.0,-1.7777777777777777,0.44095855184409866,-2.0,-1.0,-1.1940219915444126,-1.24560267651189,-0.8851552157520387,no,1.0
alligator,visual,4,Is it small?,no,7.0,-1.1428571428571428,0.8997354108424375,-2.0,0.0,2.142857142857143,0.899735410842437,1.0,3.0,-1.4285714285714286,0.7867957924694431,-2.0,0.0,-0.7092713410727586,-0.03415846863298981,-0.24883434005816576,no,1.0
alligator,visual,5,Is it made of metal?,no,3.0,-2.0,0.0,-2.0,-2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.6666666666666667,0.5773502691896255,-2.0,-1.0,-1.2662188969338077,-0.9846762317379731,-0.6826894825767157,no,1.0
apple,nonvisual,1,Is it a fruit?,yes,5.0,2.0,0.0,2.0,2.0,3.6,1.6733200530681513,1.0,5.0,-1.8,0.44721359549995815,-2.0,-1.0,1.3328696970844216,1.6767735049559802,-0.9256483623871036,yes,1.0
apple,nonvisual,2,Does it grow on trees?,yes,5.0,1.6,0.8944271909999157,0.0,2.0,2.2,1.6431676725154984,1.0,4.0,-1.4,0.8944271909999157,-2.0,0.0,1.0729608376825988,0.03293690288030341,-0.19677172295593956,yes,1.0
apple,nonvisual,3,Is it eaten in pies?,yes,4.0,2.0,0.0,2.0,2.0,1.5,1.0,1.0,3.0,-1.75,0.5,-2.0,-1.0,1.3328696970844216,-0.7889813981575353,-0.834538782458208,yes,1.0
apple,nonvisual,4,Is it nutritious?,yes,10.0,1.6,0.6992058987801009,0.0,2.0,2.9,1.370320319406298,1.0,5.0,-1.4,0.6992058987801009,-2.0,0.0,1.0729608376825988,0.8548552039181416,-0.19677172295593956,yes,1.0
apple,nonvisual,5,Is it used for cider?,yes,4.0,2.0,0.0,2.0,2.0,2.25,1.8929694486000912,1.0,5.0,-1.75,0.5,-2.0,-1.0,1.3328696970844216,0.09164535295443452,-0.834538782458208,yes,1.0
apple,visual,1,Is it red?,yes,7.0,0.42857142857142855,0.5345224838248488,0.0,1.0,1.4285714285714286,1.1338934190276817,1.0,4.0,-1.2857142857142858,0.48795003647426666,-2.0,-1.0,0.3117991780058315,-0.8728506125491514,0.011478745452964052,yes,1.0
apple,visual,2,Is it green?,yes,3.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.3094010767585034,1.0,5.0,-1.6666666666666667,0.5773502691896255,-2.0,-1.0,0.03332540007530694,0.18949276974465357,-0.6826894825767157,,
apple,visual,3,Does it have seeds?,yes,5.0,1.6,0.8944271909999157,0.0,2.0,2.0,1.224744871391589,1.0,4.0,-1.4,0.8944271909999157,-2.0,0.0,1.0729608376825988,-0.20189689741622208,-0.19677172295593956,yes,1.0
apple,visual,4,Is it round?,yes,5.0,1.0,0.7071067811865476,0.0,2.0,1.2,0.44721359549995787,1.0,2.0,-1.4,0.547722557505166,-2.0,-1.0,0.6830975485798644,-1.1412320986023232,-0.19677172295593956,yes,1.0
apple,visual,5,Does it have a core?,yes,5.0,2.0,0.0,2.0,2.0,3.2,1.3038404810405295,1.0,4.0,-1.0,1.0,-2.0,0.0,1.3328696970844216,1.2071059043629297,0.5321049164752241,yes,1.0
apple,nonvisual,1,Is it an animal?,no,2.0,-2.0,0.0,-2.0,-2.0,3.0,0.0,3.0,3.0,-1.0,0.0,-1.0,-1.0,-1.2662188969338077,0.9722721040664043,0.5321049164752241,no,1.0
apple,nonvisual,2,Does it live in Africa?,no,5.0,-0.6,1.140175425099138,-2.0,1.0,3.0,1.4142135623730951,2.0,5.0,-0.4,0.8944271909999159,-1.0,1.0,-0.35653788902742745,0.9722721040664043,1.6254198756219698,no,1.0
apple,nonvisual,3,Is it fast?,no,6.0,-1.6666666666666667,0.8164965809277259,-2.0,0.0,2.5,1.760681686165901,1.0,5.0,-1.3333333333333333,0.816496580927726,-2.0,0.0,-1.049628180765622,0.3851876033250911,-0.07529228305074562,no,1.0
apple,nonvisual,4,Is it timid?,no,3.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,3.3333333333333335,2.0816659994661326,1.0,5.0,-0.3333333333333333,2.0816659994661326,-2.0,2.0,-0.8330374645974361,1.36366177122728,1.746899315527164,no,1.0
apple,nonvisual,5,Is it used in experiments?,no,2.0,0.5,0.7071067811865476,0.0,1.0,2.5,2.1213203435596424,1.0,4.0,-0.5,0.7071067811865476,-1.0,0.0,0.35821147432758565,0.3851876033250911,1.4432007157641789,,
apple,visual,1,Is it black?,no,7.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,1.4285714285714286,0.7867957924694431,1.0,3.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,-0.9877451190032832,-0.8728506125491514,-0.7694605110804253,no,1.0
apple,visual,2,Does it have pockets?,no,5.0,-2.0,0.0,-2.0,-2.0,1.2,0.44721359549995787,1.0,2.0,-1.6,0.547722557505166,-2.0,-1.0,-1.2662188969338077,-1.1412320986023232,-0.5612100426715217,no,1.0
apple,visual,3,Does it have a beak?,no,5.0,-2.0,0.0,-2.0,-2.0,2.0,1.4142135623730951,1.0,4.0,-2.0,0.0,-2.0,-2.0,-1.2662188969338077,-0.20189689741622208,-1.2900866821026855,no,1.0
apple,visual,4,Does it have a hood?,no,4.0,-1.5,1.0,-2.0,0.0,1.5,1.0,1.0,3.0,-1.5,1.0,-2.0,0.0,-0.9413328226815291,-0.7889813981575353,-0.37899088281373067,no,1.0
apple,visual,5,Does it have eyes?,no,1.0,-2.0,,-2.0,-2.0,1.0,,1.0,1.0,-1.0,,-1.0,-1.0,-1.2662188969338077,-1.3760658988988486,0.5321049164752241,,
banana,nonvisual,1,Is it a fruit?,yes,5.0,2.0,0.0,2.0,2.0,2.2,1.7888543819998317,1.0,5.0,-1.0,1.0,-2.0,0.0,1.3328696970844216,0.03293690288030341,0.5321049164752241,yes,1.0
banana,nonvisual,2,Does it taste good?,yes,4.0,0.75,0.5,0.0,1.0,1.5,0.5773502691896257,1.0,2.0,-1.5,0.5773502691896257,-2.0,-1.0,0.520654511453725,-0.7889813981575353,-0.37899088281373067,yes,1.0
banana,nonvisual,3,Does it grow in tropical climates?,yes,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,-1.0,,-1.0,-1.0,0.6830975485798644,-1.3760658988988486,0.5321049164752241,,
banana,nonvisual,4,Is it healthy?,yes,2.0,1.5,0.7071067811865476,1.0,2.0,5.0,0.0,5.0,5.0,0.5,0.7071067811865476,0.0,1.0,1.007983622832143,3.320610107031657,3.265392314342088,yes,1.0
banana,visual,1,Is it yellow?,yes,6.0,1.6666666666666667,0.5163977794943221,1.0,2.0,2.1666666666666665,1.834847859269718,1.0,5.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,1.116278980916236,-0.00620206383578452,-0.9863880823397003,yes,1.0
banana,visual,2,Is it long?,yes,3.0,0.3333333333333333,0.5773502691896258,0.0,1.0,2.3333333333333335,1.5275252316519468,1.0,4.0,-0.6666666666666666,0.5773502691896258,-1.0,0.0,0.2499161162434927,0.18949276974465357,1.139502116001194,,
banana,visual,3,Does it have a peel?,yes,5.0,1.0,1.7320508075688772,-2.0,2.0,2.0,1.0,1.0,3.0,-1.4,0.8944271909999157,-2.0,0.0,0.6830975485798644,-0.20189689741622208,-0.19677172295593956,yes,1.0
banana,visual,4,Does it have a skin?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,1.25,0.5,1.0,2.0,-1.75,0.5,-2.0,-1.0,1.007983622832143,-1.082523648528192,-0.834538782458208,yes,1.0
banana,nonvisual,1,Is it fast?,no,5.0,-1.6,0.8944271909999157,-2.0,0.0,2.2,1.0954451150103324,1.0,3.0,-1.4,0.8944271909999157,-2.0,0.0,-1.006310037531985,0.03293690288030341,-0.19677172295593956,no,1.0
banana,nonvisual,2,Is it worn in cold temperatures?,no,5.0,-0.8,1.7888543819998317,-2.0,2.0,2.4,1.6733200530681511,1.0,5.0,-1.0,1.224744871391589,-2.0,1.0,-0.486492318728339,0.2677707031768284,0.5321049164752241,no,1.0
banana,nonvisual,3,Does it have different speeds?,no,4.0,-1.5,1.0,-2.0,0.0,2.25,1.8929694486000912,1.0,5.0,-1.0,0.816496580927726,-2.0,0.0,-0.9413328226815291,0.09164535295443452,0.5321049164752241,no,1.0
banana,nonvisual,4,Is it a container?,no,5.0,-1.8,0.44721359549995815,-2.0,-1.0,2.2,1.3038404810405297,1.0,4.0,-1.4,0.547722557505166,-2.0,-1.0,-1.1362644672328963,0.03293690288030341,-0.19677172295593956,no,1.0
banana,visual,1,Does it have feathers?,no,7.0,-2.0,0.0,-2.0,-2.0,1.5714285714285714,0.9759000729485333,1.0,3.0,-1.5714285714285714,0.5345224838248489,-2.0,-1.0,-1.2662188969338077,-0.7051121837659191,-0.5091474255692956,no,1.0
banana,visual,2,Does it have a tail?,no,3.0,-2.0,0.0,-2.0,-2.0,2.3333333333333335,2.3094010767585034,1.0,5.0,-2.0,0.0,-2.0,-2.0,-1.2662188969338077,0.18949276974465357,-1.2900866821026855,no,1.0
banana,visual,3,Does it have a beak?,no,6.0,-2.0,0.0,-2.0,-2.0,1.3333333333333333,0.816496580927726,1.0,3.0,-2.0,0.0,-2.0,-2.0,-1.2662188969338077,-0.9846762317379731,-1.2900866821026855,no,1.0
banana,visual,4,Does it have hooves?,no,10.0,-2.0,0.0,-2.0,-2.0,1.1,0.316227766016838,1.0,2.0,-1.9,0.31622776601683766,-2.0,-1.0,-1.2662188969338077,-1.2586489987505858,-1.1078675222448944,no,1.0
bike,nonvisual,1,Is is used for riding?,yes,1.0,2.0,,2.0,2.0,1.0,,1.0,1.0,-2.0,,-2.0,-2.0,1.3328696970844216,-1.3760658988988486,-1.2900866821026855,,
bike,nonvisual,2,Is it used for racing?,yes,2.0,-0.5,2.1213203435596424,-2.0,1.0,1.5,0.7071067811865476,1.0,2.0,-1.5,0.7071067811865476,-2.0,-1.0,-0.2915606741769718,-0.7889813981575353,-0.37899088281373067,,
bike,nonvisual,3,Does it have different speeds?,yes,2.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,0.5,0.7071067811865476,0.0,1.0,0.6830975485798644,0.9722721040664043,3.265392314342088,yes,1.0
bike,nonvisual,4,Is it fast?,yes,4.0,0.75,1.2583057392117916,-1.0,2.0,1.75,0.9574271077563381,1.0,3.0,-0.75,0.9574271077563381,-2.0,0.0,0.520654511453725,-0.4954391477868787,0.9876528161197015,yes,1.0
bike,visual,1,Does it have handle bars?,yes,8.0,1.75,0.4629100498862757,1.0,2.0,2.25,1.5811388300841898,1.0,5.0,-1.375,0.7440238091428449,-2.0,0.0,1.1704266599582824,0.09164535295443452,-0.15121693299149197,yes,1.0
bike,visual,2,Does it have a seat?,yes,3.0,1.6666666666666667,0.5773502691896255,1.0,2.0,1.6666666666666667,1.1547005383792515,1.0,3.0,-1.6666666666666667,0.5773502691896255,-2.0,-1.0,1.116278980916236,-0.5932865645770975,-0.6826894825767157,yes,1.0
bike,visual,3,Does it have gears?,yes,5.0,1.0,1.0,0.0,2.0,2.6,1.1401754250991383,1.0,4.0,-1.2,0.44721359549995787,-2.0,-1.0,0.6830975485798644,0.5026045034733538,0.16766659675964227,yes,1.0
bike,visual,4,Is it made of metal?,yes,2.0,1.5,0.7071067811865476,1.0,2.0,2.0,1.4142135623730951,1.0,3.0,-1.5,0.7071067811865476,-2.0,-1.0,1.007983622832143,-0.20189689741622208,-0.37899088281373067,yes,1.0
bike,nonvisual,1,Does it live in Africa?,no,4.0,-0.75,1.5,-2.0,1.0,1.5,1.0,1.0,3.0,-1.5,1.0,-2.0,0.0,-0.45400371130311107,-0.7889813981575353,-0.37899088281373067,,
bike,nonvisual,2,Is it nocturnal?,no,5.0,-1.6,0.8944271909999157,-2.0,0.0,3.0,2.0,1.0,5.0,-1.0,1.224744871391589,-2.0,1.0,-1.006310037531985,0.9722721040664043,0.5321049164752241,no,1.0
bike,nonvisual,3,Is it a mammal?,no,4.0,-1.25,0.9574271077563381,-2.0,0.0,2.0,1.1547005383792515,1.0,3.0,-1.0,1.1547005383792515,-2.0,0.0,-0.7788897855553898,-0.20189689741622208,0.5321049164752241,no,1.0
bike,nonvisual,4,Is it found at tables?,no,5.0,-1.6,0.547722557505166,-2.0,-1.0,1.2,0.44721359549995787,1.0,2.0,-1.4,0.547722557505166,-2.0,-1.0,-1.006310037531985,-1.1412320986023232,-0.19677172295593956,no,1.0
bike,visual,1,Does it have legs?,no,2.0,-2.0,0.0,-2.0,-2.0,1.5,0.7071067811865476,1.0,2.0,-1.5,0.7071067811865476,-2.0,-1.0,-1.2662188969338077,-0.7889813981575353,-0.37899088281373067,no,1.0
bike,visual,2,Is it made of plastic?,no,7.0,-1.2857142857142858,0.7559289460184545,-2.0,0.0,2.0,0.5773502691896257,1.0,3.0,-1.0,0.5773502691896257,-2.0,0.0,-0.8020959337162669,-0.20189689741622208,0.5321049164752241,no,1.0
bike,visual,3,Does it have feet?,no,6.0,-1.6666666666666667,0.8164965809277259,-2.0,0.0,2.6666666666666665,1.3662601021279466,1.0,4.0,-1.3333333333333333,0.816496580927726,-2.0,0.0,-1.049628180765622,0.5808824369055287,-0.07529228305074562,no,1.0
bike,visual,4,Does it have sleeves?,no,7.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,2.0,1.4142135623730951,1.0,4.0,-1.0,1.2909944487358056,-2.0,1.0,-1.1733943042902997,-0.20189689741622208,0.5321049164752241,no,1.0
bottle,nonvisual,1,Is it used for holding things?,yes,4.0,1.75,0.5,1.0,2.0,2.75,1.2583057392117916,1.0,4.0,-1.5,1.0,-2.0,0.0,1.1704266599582824,0.6787298536957478,-0.37899088281373067,yes,1.0
bottle,nonvisual,2,Is it used for holding liquids?,yes,4.0,2.0,0.0,2.0,2.0,1.25,0.5,1.0,2.0,-1.75,0.5,-2.0,-1.0,1.3328696970844216,-1.082523648528192,-0.834538782458208,yes,1.0
bottle,nonvisual,3,Is it a container?,yes,3.0,1.3333333333333333,1.1547005383792517,0.0,2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,0.8996882647480501,-0.9846762317379731,-0.07529228305074562,yes,1.0
bottle,nonvisual,4,Is it breakable?,yes,5.0,1.0,1.0,0.0,2.0,2.8,0.8366600265340751,2.0,4.0,-1.0,0.7071067811865476,-2.0,0.0,0.6830975485798644,0.7374383037698788,0.5321049164752241,yes,1.0
bottle,nonvisual,5,Is it used for holding beer?,yes,3.0,1.3333333333333333,1.1547005383792517,0.0,2.0,1.6666666666666667,1.1547005383792515,1.0,3.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,0.8996882647480501,-0.5932865645770975,-0.07529228305074562,yes,1.0
bottle,visual,1,Is it made of glass?,yes,3.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.3333333333333333,0.5773502691896258,-2.0,-1.0,0.03332540007530694,-0.9846762317379731,-0.07529228305074562,,
bottle,visual,2,Is it made of plastic?,yes,5.0,0.6,0.5477225575051661,0.0,1.0,1.8,0.8366600265340757,1.0,3.0,-0.8,0.44721359549995787,-1.0,0.0,0.42318868917804137,-0.4367306977127473,0.8965432361908059,yes,1.0
bottle,visual,3,Does it have a lid?,yes,7.0,0.2857142857142857,0.4879500364742666,0.0,1.0,1.7142857142857142,0.7559289460184543,1.0,3.0,-1.1428571428571428,0.8997354108424375,-2.0,0.0,0.2189745853623233,-0.5373737549826869,0.27179183096409426,yes,1.0
bottle,visual,4,Does it have a neck?,yes,9.0,0.8888888888888888,0.3333333333333334,0.0,1.0,1.8888888888888888,1.2692955176439846,1.0,4.0,-1.1111111111111112,0.927960727138337,-2.0,1.0,0.610900643190469,-0.33236011980318064,0.3296391832999007,yes,1.0
bottle,visual,5,Does it have a cork?,yes,7.0,-0.5714285714285714,0.9759000729485332,-2.0,0.0,2.0,1.0,1.0,4.0,-1.1428571428571428,0.8997354108424375,-2.0,0.0,-0.3379729704987258,-0.20189689741622208,0.27179183096409426,no,0.0
bottle,nonvisual,1,Is it an animal?,no,3.0,-2.0,0.0,-2.0,-2.0,3.0,2.0,1.0,5.0,-1.0,1.0,-2.0,0.0,-1.2662188969338077,0.9722721040664043,0.5321049164752241,no,1.0
bottle,nonvisual,2,Is it juicy?,no,5.0,0.0,1.4142135623730951,-2.0,2.0,3.2,1.4832396974191324,1.0,5.0,-1.2,1.0954451150103321,-2.0,0.0,0.03332540007530694,1.2071059043629297,0.16766659675964227,,
bottle,nonvisual,3,Is it a carnivore?,no,4.0,-1.5,1.0,-2.0,0.0,3.5,1.7320508075688772,1.0,5.0,-2.0,0.0,-2.0,-2.0,-0.9413328226815291,1.5593566048077177,-1.2900866821026855,no,1.0
bottle,nonvisual,4,Does it fly?,no,5.0,-1.6,0.8944271909999157,-2.0,0.0,1.6,1.3416407864998738,1.0,4.0,-1.2,1.3038404810405297,-2.0,1.0,-1.006310037531985,-0.6715644980092725,0.16766659675964227,no,1.0
bottle,nonvisual,5,Is it an amphibian?,no,5.0,-2.0,0.0,-2.0,-2.0,2.0,1.7320508075688772,1.0,5.0,-1.4,0.8944271909999157,-2.0,0.0,-1.2662188969338077,-0.20189689741622208,-0.19677172295593956,no,1.0
bottle,visual,1,Does it have feet?,no,5.0,-2.0,0.0,-2.0,-2.0,1.6,0.8944271909999157,1.0,3.0,-1.8,0.44721359549995815,-2.0,-1.0,-1.2662188969338077,-0.6715644980092725,-0.9256483623871036,no,1.0
bottle,visual,2,Does it have seeds?,no,2.0,-2.0,0.0,-2.0,-2.0,4.5,0.7071067811865476,4.0,5.0,-0.5,0.7071067811865476,-1.0,0.0,-1.2662188969338077,2.733525606290344,1.4432007157641789,no,1.0
bottle,visual,3,Does it have armrests?,no,7.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,2.2857142857142856,1.889822365046136,1.0,5.0,-1.4285714285714286,0.5345224838248487,-2.0,-1.0,-1.1733943042902997,0.13357996015024245,-0.24883434005816576,no,1.0
bottle,visual,4,Does it have eyes?,no,3.0,-2.0,0.0,-2.0,-2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-1.0,1.0,-2.0,0.0,-1.2662188969338077,-0.9846762317379731,0.5321049164752241,no,1.0
bottle,visual,5,Does it have teeth?,no,5.0,-2.0,0.0,-2.0,-2.0,2.2,1.7888543819998317,1.0,5.0,-1.8,0.44721359549995815,-2.0,-1.0,-1.2662188969338077,0.03293690288030341,-0.9256483623871036,no,1.0
camel,nonvisual,1,Does it live in the desert?,yes,4.0,0.75,1.8929694486000912,-2.0,2.0,2.25,1.5,1.0,4.0,-0.75,0.9574271077563381,-2.0,0.0,0.520654511453725,0.09164535295443452,0.9876528161197015,,
camel,nonvisual,2,Does it drink water?,yes,3.0,1.6666666666666667,0.5773502691896255,1.0,2.0,2.3333333333333335,1.1547005383792517,1.0,3.0,0.0,1.7320508075688772,-2.0,1.0,1.116278980916236,0.18949276974465357,2.3542965150531336,yes,1.0
camel,nonvisual,3,Is it used by riding?,yes,5.0,1.6,0.547722557505166,1.0,2.0,2.0,1.0,1.0,3.0,-1.4,1.3416407864998738,-2.0,1.0,1.0729608376825988,-0.20189689741622208,-0.19677172295593956,yes,1.0
camel,nonvisual,4,Is it a mammal?,yes,2.0,2.0,0.0,2.0,2.0,2.5,2.1213203435596424,1.0,4.0,-1.5,0.7071067811865476,-2.0,-1.0,1.3328696970844216,0.3851876033250911,-0.37899088281373067,yes,1.0
camel,nonvisual,5,Does it spit?,yes,3.0,0.3333333333333333,1.5275252316519468,-1.0,2.0,2.3333333333333335,1.1547005383792517,1.0,3.0,-1.3333333333333333,1.1547005383792517,-2.0,0.0,0.2499161162434927,0.18949276974465357,-0.07529228305074562,,
camel,visual,1,Does it have a hump?,yes,0.0,,,,,,,,,,,,,,,,,
camel,visual,2,Is it brown?,yes,4.0,1.25,0.5,1.0,2.0,2.5,1.9148542155126762,1.0,5.0,-1.0,1.4142135623730951,-2.0,1.0,0.8455405857060037,0.3851876033250911,0.5321049164752241,yes,1.0
camel,visual,3,Does it have legs?,yes,6.0,2.0,0.0,2.0,2.0,1.1666666666666667,0.4082482904638632,1.0,2.0,-1.8333333333333333,0.40824829046386274,-2.0,-1.0,1.3328696970844216,-1.1803710653184107,-0.9863880823397003,yes,1.0
camel,visual,4,Is it large?,yes,4.0,1.5,0.5773502691896257,1.0,2.0,1.25,0.5,1.0,2.0,-2.0,0.0,-2.0,-2.0,1.007983622832143,-1.082523648528192,-1.2900866821026855,yes,1.0
camel,visual,5,Is it beige?,yes,10.0,0.4,1.07496769977314,-2.0,2.0,1.9,0.875595035770913,1.0,3.0,-0.8,0.7888106377466155,-2.0,0.0,0.2932342594771299,-0.31931379756448486,0.8965432361908059,yes,1.0
camel,nonvisual,1,Is it a bird?,no,3.0,-2.0,0.0,-2.0,-2.0,1.0,0.0,1.0,1.0,-2.0,0.0,-2.0,-2.0,-1.2662188969338077,-1.3760658988988486,-1.2900866821026855,no,1.0
camel,nonvisual,2,Is it graceful?,no,6.0,-0.8333333333333334,0.983192080250175,-2.0,0.0,2.3333333333333335,1.3662601021279466,1.0,5.0,-0.3333333333333333,1.3662601021279464,-2.0,1.0,-0.5081513903451575,0.18949276974465357,1.746899315527164,no,1.0
camel,nonvisual,3,Does it eat?,no,1.0,2.0,,2.0,2.0,5.0,,5.0,5.0,0.0,,0.0,0.0,1.3328696970844216,3.320610107031657,2.3542965150531336,,
camel,nonvisual,4,Does it live on a farm?,no,6.0,-0.8333333333333334,0.983192080250175,-2.0,1.0,3.0,1.5491933384829668,1.0,5.0,-1.0,0.8944271909999159,-2.0,0.0,-0.5081513903451575,0.9722721040664043,0.5321049164752241,no,1.0
camel,nonvisual,5,Does it live in a coop?,no,4.0,-1.5,1.0,-2.0,0.0,2.25,1.5,1.0,4.0,-1.25,1.5,-2.0,1.0,-0.9413328226815291,0.09164535295443452,0.07655701683074671,no,1.0
camel,visual,1,Does it have stripes?,no,3.0,-1.6666666666666667,0.5773502691896255,-2.0,-1.0,2.3333333333333335,1.5275252316519468,1.0,4.0,-1.0,0.0,-1.0,-1.0,-1.049628180765622,0.18949276974465357,0.5321049164752241,no,1.0
camel,visual,2,Does it have seeds?,no,6.0,-2.0,0.0,-2.0,-2.0,1.6666666666666667,1.632993161855452,1.0,5.0,-1.5,0.8366600265340756,-2.0,0.0,-1.2662188969338077,-0.5932865645770975,-0.37899088281373067,no,1.0
camel,visual,3,Does it have whiskers?,no,5.0,0.0,1.4142135623730951,-1.0,2.0,1.6,0.8944271909999157,1.0,3.0,-0.4,1.140175425099138,-2.0,1.0,0.03332540007530694,-0.6715644980092725,1.6254198756219698,,
camel,visual,4,Does it have a cork?,no,3.0,-2.0,0.0,-2.0,-2.0,1.3333333333333333,0.5773502691896258,1.0,2.0,-2.0,0.0,-2.0,-2.0,-1.2662188969338077,-0.9846762317379731,-1.2900866821026855,no,1.0
camel,visual,5,Does it have green leaves?,no,3.0,-2.0,0.0,-2.0,-2.0,2.0,1.7320508075688772,1.0,4.0,-2.0,0.0,-2.0,-2.0,-1.2662188969338077,-0.20189689741622208,-1.2900866821026855,no,1.0
