V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,room,subj_id,version,roomMan,codeMan,Q14,Q13,Q19,Q15_1,Q16_1,Q17,Q19,age,Q11,Q12,langs,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1H9zza3IltkqXSB,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-08 17:50:15,2014-04-08 17:51:39,1,LL-Elaine,MWPF111,MWP-F1,,,1,no,no,36,55,5,1,18,2,1,,43.076095581055,-89.410400390625,-1,
R_bybMxBrDXuCckTj,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-08 17:50:12,2014-04-08 17:52:46,1,LL-Jerry,MWPF110,MWP-F1,,,1,I would try to identify as quickly as possible the key words in the sentence.,"I thought there were some questions that could have gone both ways. An example was when I was asked whether a deer was smelly, and I pressed yes but the experiment said I was wrong.",0,80,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_3xCl4FcADIZK2TX,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-08 17:55:22,2014-04-08 17:57:27,1,LL-Kramer,MWPF11,MWP-F1,,,1,I looked at the last word of the sentence almost exclusively.,Whenever they asked if strawberries tasted good I answered 'no' because I don't like strawberries.,40,70,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_7ZE2b9hxwBtRboN,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-08 17:56:23,2014-04-08 17:57:49,1,LL-George,MWPF112,MWP-F1,,,1,I usually was ready to click yes unless the question proved otherwise.,,50,70,3,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_5upuCwn3mnj6OX3,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-08 18:19:58,2014-04-08 18:21:41,1,LL-Jerry,MWPF114,MWP-F1,,,1,"N, I just tried to go through it as fast as possible",It was getting a little tiring in the end and it was harder to concentrate. ,40,80,4,1,19,1,0,Mandarin Chinese,43.076095581055,-89.410400390625,-1,
R_71ckTHxyWR9GyY5,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-08 18:20:46,2014-04-08 18:22:58,1,LL-George,MWPF115,MWP-F1,,,1,I kind of read the entire sentence at once. After a while I started recognizing each sentence and it made it easier to answer because I had remembered seeing it before; I didn't need to read the entire thing over again.,"Raccoons aren't black. Pigs can live in Hawaii and India. I didn't know pineapples had cores, but I guess they sort of do.",35,70,4,1,19,1,1,French,43.076095581055,-89.410400390625,-1,
R_6rKwdgj5hNDX8MZ,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-09 12:04:57,2014-04-09 12:07:10,1,LL-Kramer,MWPF116,MWP-F1,,,1,I just looked at the end of the question to get the information needed faster. ,"There were some questions that didn't go with the stated animal/fruit, but that made it clear that the answer was no.",54,74,4,1,19,2,1,Spanish,43.076095581055,-89.410400390625,-1,
R_39Rwxruz7hCdMP3,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-09 12:05:45,2014-04-09 12:07:50,1,LL-George,MWPF117,MWP-F1,,,1,As soon as I heard a word I tried to picture the object/animal in my head and think of it's most basic features.,"No, they all made sense to me.",45,80,3,1,19,2,1,None.,43.076095581055,-89.410400390625,-1,
R_6zqlH980nWFZ1kN,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-09 12:15:10,2014-04-09 12:16:35,1,LL-Elaine,MWPF118,MWP-F1,,,1,I tried staring at the + sign and then not moving my eyes while i read the question.,,44,72,5,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_4NIlXqVoSzPLgJT,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-09 12:18:59,2014-04-09 12:21:10,1,LL-Jerry,MWPF119,MWP-F1,,,1,Made sure to listen to the name before reading ,grasshoppers have long legs in comparison to their own body but not in comparison to the other animals mentioned ,45,77,4,1,19,1,1,none,43.076095581055,-89.410400390625,-1,
R_6xvL7C08qi6r2mh,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-09 12:42:47,2014-04-09 12:45:35,1,LL-Kramer,MWPF120,MWP-F1,,,1,I tried to picture the image of what was said in my head before the question appeared.,No,15,75,5,1,19,1,1,None,43.076095581055,-89.410400390625,-1,
R_6na3pv8F84dQ6gd,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-09 12:46:37,2014-04-09 12:48:22,1,LL-George,MWPF121,MWP-F1,,,1,No,does it have mane?,30,80,4,1,19,2,0,Korean,43.076095581055,-89.410400390625,-1,
R_6RL2cy880rOPJT7,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-10 11:28:27,2014-04-10 11:29:55,1,LL-Kramer,MWPF122,MWP-F1,,,1,No strategy,It took me a while to figure out if raccoons had masks.,70,85,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_cvSj7PtejYMKfpr,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-10 11:30:19,2014-04-10 11:32:44,1,LL-George,MWPF123,MWP-F1,,,1,I just tried to listen and hit a key quickly when the question came up.,"""Does it eat?"" was asked about animals who all eat, and when i hit the yes button it said the answer was incorrect.",35,63,4,1,19,2,1,Spanish,43.076095581055,-89.410400390625,-1,
R_9N7xuh4X5InlwMd,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-10 11:38:13,2014-04-10 11:40:38,1,LL-Elaine,MWPF124,MWP-F1,,,1,I tended to look towards the left of the + sign because that is where the key word would be for the question.,"If I remember right, towards the beginning of the experiment I answered yes to if a donkey was like a horse and it was wrong, so the next time I got the question I answered no and got it wrong so that was confusing.",45,75,3,1,18,2,1,,43.076095581055,-89.410400390625,-1,
R_1zRUhk59x9RxfW5,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-15 15:16:12,2014-04-15 15:17:56,1,LL-George,MWPF125,MWP-F1,,,1,No most answers were merely instinct because of their simplicity,No,45,75,4,1,18,2,1,,43.076095581055,-89.410400390625,-1,
R_cuOovVbtsNL8Y4Z,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-15 15:52:59,2014-04-15 15:54:41,1,LL-Jerry,MWPF126,MWP-F1,,,1,No.,Chair- Is it orange. Chairs can't be orange?,30,56,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_cuT32ukrBfUK4WF,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-15 16:10:48,2014-04-15 16:13:02,1,LL-George,MWPF128,MWP-F1,,,1,Not really,"Penguins don't live in the Arctic, they live in Antarctica.",31,86,4,1,19,1,1,Hmong,43.076095581055,-89.410400390625,-1,
R_eG8fqBzK4EH0Xn7,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-15 16:11:29,2014-04-15 16:13:38,1,LL-Kramer,MWPF129,MWP-F1,,,1,I just thought of the first thing I saw,Does it have a core,72,41,4,1,18,1,1,Spanish,43.076095581055,-89.410400390625,-1,
R_3xENPPEBZkebzk9,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-15 16:13:14,2014-04-15 16:15:08,1,LL-Elaine,MWPF127,MWP-F1,,,1,I looked at the first word that popped up and thought if it made sense with the word that was spoken,,30,80,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_5cm4IL2sFF6Dnvf,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-15 16:16:00,2014-04-15 16:20:38,1,LL-Jerry,MWPF130,MWP-F1,,,1,After a few rounds when I heard the word I would associate a couple questions or types of questions that might be asked with that word in order to already have an idea of how to respond. ,"Some questions like ""Alligators"" are they Grey. I answered yes because all though they are thought of as green, in reality they are kind of grey-ish and don't have vibrant color. So basically questions like that, which rely on the stereotype of the animal rather than reality",35,55,4,1,18,2,1,none,43.076095581055,-89.410400390625,-1,
R_byAUkmFkrx40NHD,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-15 16:44:16,2014-04-15 16:45:10,1,LL-Jerry,MWPF132,MWP-F1,,,1,no,none,32,80,4,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_7QI9DeQII3vkFHT,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-15 16:44:09,2014-04-15 16:48:41,1,LL-Elaine,MWPF131,MWP-F1,,,1,concentrate on the word that is being said and then read the statement quickly.,when it asked if a zebra had jaws. I wasn't thinking like canine jaws i was thinking jaws such as mandibles and apparently i was wrong. ,40,88,5,1,20,1,1,,43.076095581055,-89.410400390625,-1,
R_brxyyRJsXOcnHNz,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-15 16:49:44,2014-04-15 16:52:58,1,LL-George,MWPF133,MWP-F1,,,1,"I found that I answered questions correctly faster when I said ""yes"" and confirmed a pairing.","Does a swan have a tail (no). I thought they did. / Is animal ""x"" a mammal. I incorrectly answer this question a few times.",13,71,5,1,18,1,1,N/A,43.076095581055,-89.410400390625,-1,
R_0IBOpKyj2arNrRb,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-18 10:33:07,2014-04-18 10:34:48,1,LL-Kramer,MWPF134,MWP-F1,,,1,When I heard the word I pictured it in my head before the question appeared.,,50,70,4,1,21,2,1,none,43.076095581055,-89.410400390625,-1,
R_86XBug5BC4uFonH,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-18 10:36:04,2014-04-18 10:37:12,1,LL-George,MWPF135,MWP-F1,,,1,No,"I did not know what a ""mane"" was at first.  ",50,65,4,1,18,1,1,,43.076095581055,-89.410400390625,-1,
R_6Kytt8oWhriVcbz,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-18 10:39:37,2014-04-18 10:42:13,1,LL-Elaine,MWPF136,MWP-F1,,,1,Keep my eyes open slightly,,35,80,5,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_6hvc4IEYaaMVWsd,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-18 13:19:40,2014-04-18 13:21:40,1,LL-Elaine,MWPF139,MWP-F1,,,1,I think near the end I just started picking out key words in the sentence and associated them to the word,,46,58,5,1,21,2,1,None,43.076095581055,-89.410400390625,-1,
R_9WCcYtUL2WQrtrf,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-18 13:20:17,2014-04-18 13:21:54,1,LL-Kramer,MWPF137,MWP-F1,,,1,no strategy / ,no,71,52,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
R_0DMqA0x7HkbkIrH,Default Response Set,Anonymous,,,128.104.131.67,0,2014-04-18 13:20:50,2014-04-18 13:22:52,1,LL-Jerry,MWPF140,MWP-F1,,,1,I kept my lefty my ring finger on the f and my left pointer finger on the j.,No. ,42,90,4,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_8vnwk81Xjk8BlnT,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-18 13:21:23,2014-04-18 13:23:03,1,LL-George,MWPF138,MWP-F1,,,1,I repeated to myself in my head what they said to me in the microphone. ,I can't remember any particular questions.,85,90,4,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_agbJAOJl0nihCux,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-18 14:06:39,2014-04-18 14:08:27,1,LL-George,MWPF142,MWP-F1,,,1,"I'd hear the word and then picture it in my head quickly, and only look at the last word of the sentence because that was usually the indicator. ",,40,60,3,1,19,2,1,,43.076095581055,-89.410400390625,-1,
R_9AYYnLwAilMYfRz,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-18 14:06:52,2014-04-18 14:09:28,1,LL-Kramer,MWPF141,MWP-F1,,,1,i would just look at the last word or the last two words after hearing the object or animal,i remember not know much about the grasshopper ,50,85,4,1,20,2,1,Hmong,43.076095581055,-89.410400390625,-1,
R_3CWRvuryIG6GMvz,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-18 14:06:40,2014-04-18 14:10:02,1,LL-Elaine,MWPF143,MWP-F1,,,1,I usually looked to the last word of the question only to identify the pictures and words. ,"I thought the question  of ""Does it have long legs,"" was difficult for some reason, but I'm not sure why. ",50,90,5,1,19,2,1,Spanish,43.076095581055,-89.410400390625,-1,
R_eJq9tEy2odm772l,Default Response Set,Anonymous,,,128.104.131.64,0,2014-04-18 14:48:56,2014-04-18 14:50:13,1,LL-Kramer,MWPF144,MWP-F1,,,1,Read the question fast,none,62,74,3,1,19,2,1,Spanish,43.076095581055,-89.410400390625,-1,
R_d0QjdYutKR1xbDL,Default Response Set,Anonymous,,,128.104.131.73,0,2014-04-18 14:50:39,2014-04-18 14:52:39,1,LL-George,MWPF145,MWP-F1,,,1,I just looked at the last words of the question to see if it made sense and if it didn't then I read the rest.,"Some I felt could have been answered either way (alligator tongue, alligator in summer) and I think there was one that said do camels eat?  And the is the chair orange one was misleading too!  ",60,90,6,1,19,1,1,"Spanish, ASL",43.076095581055,-89.410400390625,-1,
R_ddv0wDsD7YPAU6h,Default Response Set,Anonymous,,,128.104.131.140,0,2014-04-18 14:51:46,2014-04-18 14:52:58,1,LL-Elaine,MWPF146,MWP-F1,,,1,,,20,80,4,1,19,1,1,,43.076095581055,-89.410400390625,-1,
