cue,feat_type,response,question_id,question,proposition_id
banana,nonvisual,no,2,Is it worn in cold temperatures?,banana:nonvisual:no:2
banana,nonvisual,no,3,Does it have different speeds?,banana:nonvisual:no:3
banana,nonvisual,no,4,Is it a container?,banana:nonvisual:no:4
banana,nonvisual,yes,1,Is it a fruit?,banana:nonvisual:yes:1
banana,nonvisual,yes,2,Does it taste good?,banana:nonvisual:yes:2
banana,nonvisual,yes,3,Does it grow in tropical climates?,banana:nonvisual:yes:3
banana,nonvisual,yes,4,Is it healthy?,banana:nonvisual:yes:4
banana,visual,no,1,Does it have feathers?,banana:visual:no:1
banana,visual,no,2,Does it have a tail?,banana:visual:no:2
banana,visual,no,3,Does it have a beak?,banana:visual:no:3
banana,visual,no,4,Does it have hooves?,banana:visual:no:4
banana,visual,yes,1,Is it yellow?,banana:visual:yes:1
banana,visual,yes,2,Is it long?,banana:visual:yes:2
banana,visual,yes,3,Does it have a peel?,banana:visual:yes:3
banana,visual,yes,4,Does it have a skin?,banana:visual:yes:4
bike,nonvisual,no,1,Does it live in Africa?,bike:nonvisual:no:1
bike,nonvisual,no,2,Is it nocturnal?,bike:nonvisual:no:2
bike,nonvisual,no,3,Is it a mammal?,bike:nonvisual:no:3
bike,nonvisual,no,4,Is it found at tables?,bike:nonvisual:no:4
bike,nonvisual,yes,1,Is is used for riding?,bike:nonvisual:yes:1
bike,nonvisual,yes,2,Is it used for racing?,bike:nonvisual:yes:2
bike,nonvisual,yes,3,Does it have different speeds?,bike:nonvisual:yes:3
bike,nonvisual,yes,4,Is it fast?,bike:nonvisual:yes:4
bike,visual,no,1,Does it have legs?,bike:visual:no:1
bike,visual,no,2,Is it made of plastic?,bike:visual:no:2
bike,visual,no,3,Does it have feet?,bike:visual:no:3
bike,visual,no,4,Does it have sleeves?,bike:visual:no:4
bike,visual,yes,1,Does it have handle bars?,bike:visual:yes:1
bike,visual,yes,2,Does it have a seat?,bike:visual:yes:2
bike,visual,yes,3,Does it have gears?,bike:visual:yes:3
bike,visual,yes,4,Is it made of metal?,bike:visual:yes:4
bottle,nonvisual,no,1,Is it an animal?,bottle:nonvisual:no:1
bottle,nonvisual,no,2,Is it juicy?,bottle:nonvisual:no:2
bottle,nonvisual,no,3,Is it a carnivore?,bottle:nonvisual:no:3
bottle,nonvisual,no,4,Does it fly?,bottle:nonvisual:no:4
bottle,nonvisual,no,5,Is it an amphibian?,bottle:nonvisual:no:5
bottle,nonvisual,yes,1,Is it used for holding things?,bottle:nonvisual:yes:1
bottle,nonvisual,yes,2,Is it used for holding liquids?,bottle:nonvisual:yes:2
bottle,nonvisual,yes,3,Is it a container?,bottle:nonvisual:yes:3
bottle,nonvisual,yes,4,Is it breakable?,bottle:nonvisual:yes:4
bottle,nonvisual,yes,5,Is it used for holding beer?,bottle:nonvisual:yes:5
bottle,visual,no,1,Does it have feet?,bottle:visual:no:1
bottle,visual,no,2,Does it have seeds?,bottle:visual:no:2
bottle,visual,no,3,Does it have armrests?,bottle:visual:no:3
bottle,visual,no,4,Does it have eyes?,bottle:visual:no:4
bottle,visual,no,5,Does it have a cork?,bottle:visual:no:5
bottle,visual,no,6,Does it have teeth?,bottle:visual:no:6
bottle,visual,yes,1,Is it made of glass?,bottle:visual:yes:1
bottle,visual,yes,2,Is it made of plastic?,bottle:visual:yes:2
bottle,visual,yes,4,Does it have a neck?,bottle:visual:yes:4
camel,nonvisual,no,1,Is it a bird?,camel:nonvisual:no:1
camel,nonvisual,no,2,Is it graceful?,camel:nonvisual:no:2
camel,nonvisual,no,4,Does it live on a farm?,camel:nonvisual:no:4
camel,nonvisual,no,5,Does it live in a coop?,camel:nonvisual:no:5
camel,nonvisual,yes,1,Does it live in the desert?,camel:nonvisual:yes:1
camel,nonvisual,yes,2,Does it drink water?,camel:nonvisual:yes:2
camel,nonvisual,yes,3,Is it used by riding?,camel:nonvisual:yes:3
camel,nonvisual,yes,6,Does it eat?,camel:nonvisual:yes:6
camel,nonvisual,yes,4,Is it a mammal?,camel:nonvisual:yes:4
camel,nonvisual,yes,5,Does it spit?,camel:nonvisual:yes:5
camel,visual,no,1,Does it have stripes?,camel:visual:no:1
camel,visual,no,2,Does it have seeds?,camel:visual:no:2
camel,visual,no,3,Does it have whiskers?,camel:visual:no:3
camel,visual,no,4,Does it have a cork?,camel:visual:no:4
camel,visual,no,5,Does it have green leaves?,camel:visual:no:5
camel,visual,yes,1,Does it have a hump?,camel:visual:yes:1
camel,visual,yes,2,Is it brown?,camel:visual:yes:2
camel,visual,yes,3,Does it have legs?,camel:visual:yes:3
camel,visual,yes,4,Is it large?,camel:visual:yes:4
camel,visual,yes,5,Is it beige?,camel:visual:yes:5
carrot,nonvisual,no,1,Is it used for holding things?,carrot:nonvisual:no:1
carrot,nonvisual,no,2,Does it live in swamps?,carrot:nonvisual:no:2
carrot,nonvisual,no,3,Does it live in Africa?,carrot:nonvisual:no:3
carrot,nonvisual,no,4,Is it an animal?,carrot:nonvisual:no:4
carrot,nonvisual,yes,1,Is it a vegetable?,carrot:nonvisual:yes:1
carrot,nonvisual,yes,2,Is it eaten by rabbits?,carrot:nonvisual:yes:2
carrot,nonvisual,yes,3,Does it grow underground?,carrot:nonvisual:yes:3
carrot,nonvisual,yes,4,Is it a root?,carrot:nonvisual:yes:4
carrot,visual,no,1,Is it brown?,carrot:visual:no:1
carrot,visual,no,2,Does it have four legs?,carrot:visual:no:2
carrot,visual,no,3,Does it have many cars?,carrot:visual:no:3
carrot,visual,no,4,Does it have wings?,carrot:visual:no:4
carrot,visual,yes,1,Is it orange?,carrot:visual:yes:1
carrot,visual,yes,2,Does it have a top?,carrot:visual:yes:2
carrot,visual,yes,3,Is it long?,carrot:visual:yes:3
carrot,visual,yes,4,Does it have a pointed end?,carrot:visual:yes:4
chair,nonvisual,no,1,Is it a fruit?,chair:nonvisual:no:1
chair,nonvisual,no,2,Is it nutritious?,chair:nonvisual:no:2
chair,nonvisual,no,3,Is it a root?,chair:nonvisual:no:3
chair,nonvisual,no,5,Is it an animal?,chair:nonvisual:no:5
chair,nonvisual,yes,1,Is it used for sitting on?,chair:nonvisual:yes:1
chair,nonvisual,yes,2,Is it furniture?,chair:nonvisual:yes:2
chair,nonvisual,yes,3,Is it comfortable?,chair:nonvisual:yes:3
chair,nonvisual,yes,4,Is it used for relaxing?,chair:nonvisual:yes:4
chair,nonvisual,yes,6,Is it used in circuses?,chair:nonvisual:yes:6
chair,nonvisual,yes,5,Is it found at tables?,chair:nonvisual:yes:5
chair,visual,no,1,Is it long?,chair:visual:no:1
chair,visual,no,2,Does it have a tail?,chair:visual:no:2
chair,visual,no,3,Does it have a snout?,chair:visual:no:3
chair,visual,no,4,Is it orange?,chair:visual:no:4
chair,visual,no,5,Does it have a tail?,chair:visual:no:5
chair,visual,yes,1,Does it have legs?,chair:visual:yes:1
chair,visual,yes,2,Is it made of wood?,chair:visual:yes:2
chair,visual,yes,3,Does it have armrests?,chair:visual:yes:3
chair,visual,yes,4,Does it have a seat?,chair:visual:yes:4
chicken,nonvisual,no,1,Is it used for holding liquids?,chicken:nonvisual:no:1
chicken,nonvisual,no,2,Is it a mammal?,chicken:nonvisual:no:2
chicken,nonvisual,no,3,Is it used for making jam?,chicken:nonvisual:no:3
chicken,nonvisual,no,4,Is it worn for the rain?,chicken:nonvisual:no:4
chicken,nonvisual,no,5,Is it comfortable?,chicken:nonvisual:no:5
chicken,nonvisual,yes,1,Does it lay eggs?,chicken:nonvisual:yes:1
chicken,nonvisual,yes,2,Does it live on a farm?,chicken:nonvisual:yes:2
chicken,nonvisual,yes,3,Does it eat grain?,chicken:nonvisual:yes:3
chicken,nonvisual,yes,4,Is it eaten by frying?,chicken:nonvisual:yes:4
chicken,nonvisual,yes,5,Does it live in a coop?,chicken:nonvisual:yes:5
chicken,visual,no,1,Is it orange?,chicken:visual:no:1
chicken,visual,no,2,Is it yellow?,chicken:visual:no:2
chicken,visual,no,3,Does it have hooves?,chicken:visual:no:3
chicken,visual,no,4,Does it have four legs?,chicken:visual:no:4
chicken,visual,yes,1,Does it have feathers?,chicken:visual:yes:1
chicken,visual,yes,2,Does it have wings?,chicken:visual:yes:2
chicken,visual,yes,3,Does it have a beak?,chicken:visual:yes:3
chicken,visual,yes,4,Does it have legs?,chicken:visual:yes:4
deer,nonvisual,no,1,Does it live in zoos?,deer:nonvisual:no:1
deer,nonvisual,no,2,Is it smelly?,deer:nonvisual:no:2
deer,nonvisual,no,3,Is it loud?,deer:nonvisual:no:3
deer,nonvisual,no,4,Does it eat people?,deer:nonvisual:no:4
deer,nonvisual,no,5,Is it used for cider?,deer:nonvisual:no:5
deer,nonvisual,yes,1,Is it hunted by people?,deer:nonvisual:yes:1
deer,nonvisual,yes,2,Is it fast?,deer:nonvisual:yes:2
deer,nonvisual,yes,3,Is it a mammal?,deer:nonvisual:yes:3
deer,nonvisual,yes,4,Is it an herbivore?,deer:nonvisual:yes:4
deer,nonvisual,yes,5,Is it timid?,deer:nonvisual:yes:5
deer,visual,no,1,Is it yellow?,deer:visual:no:1
deer,visual,no,2,Is it green?,deer:visual:no:2
deer,visual,no,3,Does it have a lid?,deer:visual:no:3
deer,visual,no,4,Does it have a cushion?,deer:visual:no:4
deer,visual,no,5,Does it have large teeth?,deer:visual:no:5
deer,visual,yes,1,Does it have antlers?,deer:visual:yes:1
deer,visual,yes,2,Does it have four legs?,deer:visual:yes:2
deer,visual,yes,3,Does it have eyes?,deer:visual:yes:3
deer,visual,yes,4,Does it have hooves?,deer:visual:yes:4
deer,visual,yes,5,Does it have a white tail?,deer:visual:yes:5
dog,nonvisual,no,1,Does it hop?,dog:nonvisual:no:1
dog,nonvisual,no,2,Is it eaten in pies?,dog:nonvisual:no:2
dog,nonvisual,no,3,Is it eaten as bacon?,dog:nonvisual:no:3
dog,nonvisual,no,4,Is it prickly?,dog:nonvisual:no:4
dog,nonvisual,no,5,Does it lay eggs?,dog:nonvisual:no:5
dog,nonvisual,yes,1,Does it bark?,dog:nonvisual:yes:1
dog,nonvisual,yes,2,Is it an animal?,dog:nonvisual:yes:2
dog,nonvisual,yes,3,Is it a pet?,dog:nonvisual:yes:3
dog,nonvisual,yes,4,Is it used for protection?,dog:nonvisual:yes:4
dog,nonvisual,yes,5,Does it chase cats?,dog:nonvisual:yes:5
dog,visual,no,1,Does it have antlers?,dog:visual:no:1
dog,visual,no,2,Is it pink?,dog:visual:no:2
dog,visual,no,3,Does it have a caboose?,dog:visual:no:3
dog,visual,no,5,Does it have a mask?,dog:visual:no:5
dog,visual,yes,1,Does it have four legs?,dog:visual:yes:1
dog,visual,yes,2,Does it have legs?,dog:visual:yes:2
dog,visual,yes,3,Does it have a tail?,dog:visual:yes:3
dog,visual,yes,4,Does it have hair?,dog:visual:yes:4
dog,visual,yes,6,Does it have a top?,dog:visual:yes:6
dog,visual,yes,5,Does it have a nose?,dog:visual:yes:5
donkey,nonvisual,no,1,Does it lay eggs?,donkey:nonvisual:no:1
donkey,nonvisual,no,2,Does it grow on trees?,donkey:nonvisual:no:2
donkey,nonvisual,no,3,Is it furniture?,donkey:nonvisual:no:3
donkey,nonvisual,no,4,Does it chase cats?,donkey:nonvisual:no:4
donkey,nonvisual,yes,1,Is it an animal?,donkey:nonvisual:yes:1
donkey,nonvisual,yes,2,Is it like a horse?,donkey:nonvisual:yes:2
donkey,nonvisual,yes,3,Is it a mammal?,donkey:nonvisual:yes:3
donkey,nonvisual,yes,4,Is it furry?,donkey:nonvisual:yes:4
donkey,nonvisual,yes,5,Does it make noises?,donkey:nonvisual:yes:5
donkey,visual,no,1,Is it round?,donkey:visual:no:1
donkey,visual,no,2,Does it have a pointed end?,donkey:visual:no:2
donkey,visual,no,3,Does it have stripes?,donkey:visual:no:3
donkey,visual,no,4,Is it small?,donkey:visual:no:4
donkey,visual,yes,1,Does it have legs?,donkey:visual:yes:1
donkey,visual,yes,2,Does it have four legs?,donkey:visual:yes:2
donkey,visual,yes,3,Does it have a tail?,donkey:visual:yes:3
donkey,visual,yes,4,Does it have hooves?,donkey:visual:yes:4
elephant,nonvisual,no,1,Is it a rodent?,elephant:nonvisual:no:1
elephant,nonvisual,no,2,Is it a reptile?,elephant:nonvisual:no:2
elephant,nonvisual,no,3,Does it live on farms?,elephant:nonvisual:no:3
elephant,nonvisual,no,4,Is it furry?,elephant:nonvisual:no:4
elephant,nonvisual,no,5,Does it lay eggs?,elephant:nonvisual:no:5
elephant,nonvisual,yes,1,Is it an animal?,elephant:nonvisual:yes:1
elephant,nonvisual,yes,2,Does it live in Africa?,elephant:nonvisual:yes:2
elephant,nonvisual,yes,3,Does it live in zoos?,elephant:nonvisual:yes:3
elephant,nonvisual,yes,4,Is it used in circuses?,elephant:nonvisual:yes:4
elephant,nonvisual,yes,5,Does it eat peanuts?,elephant:nonvisual:yes:5
elephant,visual,no,1,Is it made of wood?,elephant:visual:no:1
elephant,visual,no,2,Does it have scales?,elephant:visual:no:2
elephant,visual,no,3,Is it beige?,elephant:visual:no:3
elephant,visual,no,4,Does it have fur?,elephant:visual:no:4
elephant,visual,no,5,Does it have hooves?,elephant:visual:no:5
elephant,visual,yes,1,Is it grey?,elephant:visual:yes:1
elephant,visual,yes,2,Does it have ears?,elephant:visual:yes:2
elephant,visual,yes,3,Does it have four legs?,elephant:visual:yes:3
elephant,visual,yes,4,Does it have a tail?,elephant:visual:yes:4
elephant,visual,yes,5,Does it have large ears?,elephant:visual:yes:5
giraffe,nonvisual,no,1,Is it eaten by frying?,giraffe:nonvisual:no:1
giraffe,nonvisual,no,2,Is it hunted by people?,giraffe:nonvisual:no:2
giraffe,nonvisual,no,4,Is it an insect?,giraffe:nonvisual:no:4
giraffe,nonvisual,yes,1,Does it eat leaves?,giraffe:nonvisual:yes:1
giraffe,nonvisual,yes,2,Does it live in Africa?,giraffe:nonvisual:yes:2
giraffe,nonvisual,yes,3,Does it live in zoos?,giraffe:nonvisual:yes:3
giraffe,nonvisual,yes,5,Does it live in grass?,giraffe:nonvisual:yes:5
giraffe,nonvisual,yes,4,Is it a mammal?,giraffe:nonvisual:yes:4
giraffe,visual,no,1,Is it green?,giraffe:visual:no:1
giraffe,visual,no,2,Does it have warts?,giraffe:visual:no:2
giraffe,visual,no,3,Is it muddy?,giraffe:visual:no:3
giraffe,visual,no,4,Does it have antennae?,giraffe:visual:no:4
giraffe,visual,yes,1,Does it have spots?,giraffe:visual:yes:1
giraffe,visual,yes,2,Is it tall?,giraffe:visual:yes:2
giraffe,visual,yes,3,Does it have long legs?,giraffe:visual:yes:3
giraffe,visual,yes,4,Is it brown?,giraffe:visual:yes:4
grasshopper,nonvisual,no,1,Does it require a conductor?,grasshopper:nonvisual:no:1
grasshopper,nonvisual,no,2,Is it hunted by people?,grasshopper:nonvisual:no:2
grasshopper,nonvisual,no,3,Does it taste good?,grasshopper:nonvisual:no:3
grasshopper,nonvisual,no,4,Does it fly?,grasshopper:nonvisual:no:4
grasshopper,nonvisual,yes,1,Is it an insect?,grasshopper:nonvisual:yes:1
grasshopper,nonvisual,yes,2,Does it live in grass?,grasshopper:nonvisual:yes:2
grasshopper,nonvisual,yes,3,Is it found in summer?,grasshopper:nonvisual:yes:3
grasshopper,visual,no,1,Is it made of wood?,grasshopper:visual:no:1
grasshopper,visual,no,2,Does it have teeth?,grasshopper:visual:no:2
grasshopper,visual,no,3,Does it have long legs?,grasshopper:visual:no:3
grasshopper,visual,no,5,Does it have an engine?,grasshopper:visual:no:5
grasshopper,visual,no,4,Is it long?,grasshopper:visual:no:4
grasshopper,visual,yes,1,Is it green?,grasshopper:visual:yes:1
grasshopper,visual,yes,2,Does it have legs?,grasshopper:visual:yes:2
grasshopper,visual,yes,4,Does it have antennae?,grasshopper:visual:yes:4
jacket,nonvisual,no,1,Is it a vegetable?,jacket:nonvisual:no:1
jacket,nonvisual,no,2,Does it eat leaves?,jacket:nonvisual:no:2
jacket,nonvisual,no,3,Is it an animal?,jacket:nonvisual:no:3
jacket,nonvisual,no,4,Does it live in Africa?,jacket:nonvisual:no:4
jacket,nonvisual,yes,1,Is it clothing?,jacket:nonvisual:yes:1
jacket,nonvisual,yes,2,Is it worn in cold temperatures?,jacket:nonvisual:yes:2
jacket,nonvisual,yes,3,Is it worn in winter?,jacket:nonvisual:yes:3
jacket,nonvisual,yes,4,Is it worn for the rain?,jacket:nonvisual:yes:4
jacket,visual,no,1,Does it have ears?,jacket:visual:no:1
jacket,visual,no,3,Is it tall?,jacket:visual:no:3
jacket,visual,no,4,Does it have hair?,jacket:visual:no:4
jacket,visual,yes,1,Does it have a zipper?,jacket:visual:yes:1
jacket,visual,yes,2,Does it have pockets?,jacket:visual:yes:2
jacket,visual,yes,3,Does it have a hood?,jacket:visual:yes:3
jacket,visual,yes,4,Does it have sleeves?,jacket:visual:yes:4
lion,nonvisual,no,1,Is it found in kitchens?,lion:nonvisual:no:1
lion,nonvisual,no,2,Does it eat cheese?,lion:nonvisual:no:2
lion,nonvisual,no,3,Does it waddle?,lion:nonvisual:no:3
lion,nonvisual,no,4,Does it lay eggs?,lion:nonvisual:no:4
lion,nonvisual,yes,1,Is it an animal?,lion:nonvisual:yes:1
lion,nonvisual,yes,2,Is it a carnivore?,lion:nonvisual:yes:2
lion,nonvisual,yes,3,Is it a mammal?,lion:nonvisual:yes:3
lion,nonvisual,yes,4,Does it live in jungles?,lion:nonvisual:yes:4
lion,nonvisual,yes,5,Does it roar?,lion:nonvisual:yes:5
lion,visual,no,1,Is it grey?,lion:visual:no:1
lion,visual,no,2,Does it have long legs?,lion:visual:no:2
lion,visual,no,3,Does it have wings?,lion:visual:no:3
lion,visual,no,4,Is it yellow inside?,lion:visual:no:4
lion,visual,no,5,Does it have a long neck?,lion:visual:no:5
lion,visual,yes,1,Does it have a mane?,lion:visual:yes:1
lion,visual,yes,2,Does it have fur?,lion:visual:yes:2
lion,visual,yes,3,Does it have a tail?,lion:visual:yes:3
lion,visual,yes,4,Does it have teeth?,lion:visual:yes:4
mouse,nonvisual,no,1,Is it a fruit?,mouse:nonvisual:no:1
mouse,nonvisual,no,2,Is it used for transportation?,mouse:nonvisual:no:2
mouse,nonvisual,no,3,Does it live in zoos?,mouse:nonvisual:no:3
mouse,nonvisual,no,4,Does it live on water?,mouse:nonvisual:no:4
mouse,nonvisual,yes,1,Is it a rodent?,mouse:nonvisual:yes:1
mouse,nonvisual,yes,2,Is it an animal?,mouse:nonvisual:yes:2
mouse,nonvisual,yes,3,Does it eat?,mouse:nonvisual:yes:3
mouse,nonvisual,yes,4,Is it used in experiments?,mouse:nonvisual:yes:4
mouse,nonvisual,yes,5,Does it eat cheese?,mouse:nonvisual:yes:5
mouse,visual,no,1,Does it have gears?,mouse:visual:no:1
mouse,visual,no,2,Is it large?,mouse:visual:no:2
mouse,visual,no,3,Does it have stripes?,mouse:visual:no:3
mouse,visual,yes,1,Does it have a tail?,mouse:visual:yes:1
mouse,visual,yes,2,Is it grey?,mouse:visual:yes:2
mouse,visual,yes,3,Does it have fur?,mouse:visual:yes:3
mouse,visual,yes,4,Does it have whiskers?,mouse:visual:yes:4
mouse,visual,yes,5,Does it have a white tail?,mouse:visual:yes:5
penguin,nonvisual,no,1,Is it like a horse?,penguin:nonvisual:no:1
penguin,nonvisual,no,2,Is it breakable?,penguin:nonvisual:no:2
penguin,nonvisual,no,3,Is it an herbivore?,penguin:nonvisual:no:3
penguin,nonvisual,no,4,Does it like mud?,penguin:nonvisual:no:4
penguin,nonvisual,no,5,Does it eat grain?,penguin:nonvisual:no:5
penguin,nonvisual,yes,1,Is it a bird?,penguin:nonvisual:yes:1
penguin,nonvisual,yes,2,Is it unable to fly?,penguin:nonvisual:yes:2
penguin,nonvisual,yes,3,Does it live in the Arctic?,penguin:nonvisual:yes:3
penguin,nonvisual,yes,4,Does it lay eggs?,penguin:nonvisual:yes:4
penguin,nonvisual,yes,5,Does it waddle?,penguin:nonvisual:yes:5
penguin,visual,no,1,Is it red?,penguin:visual:no:1
penguin,visual,no,2,Does it have a tail?,penguin:visual:no:2
penguin,visual,no,3,Does it have four legs?,penguin:visual:no:3
penguin,visual,no,4,Is it long?,penguin:visual:no:4
penguin,visual,yes,1,Is it black?,penguin:visual:yes:1
penguin,visual,yes,2,Does it have a beak?,penguin:visual:yes:2
penguin,visual,yes,3,Does it have feet?,penguin:visual:yes:3
penguin,visual,yes,4,Does it have wings?,penguin:visual:yes:4
pig,nonvisual,no,1,Is it tropical?,pig:nonvisual:no:1
pig,nonvisual,no,2,Is it a bird?,pig:nonvisual:no:2
pig,nonvisual,no,3,Does it live in India?,pig:nonvisual:no:3
pig,nonvisual,no,4,Does it grow on trees?,pig:nonvisual:no:4
pig,nonvisual,no,5,Does it grow in Hawaii?,pig:nonvisual:no:5
pig,nonvisual,yes,1,Is it an animal?,pig:nonvisual:yes:1
pig,nonvisual,yes,2,Does it live on farms?,pig:nonvisual:yes:2
pig,nonvisual,yes,3,Is it eaten as bacon?,pig:nonvisual:yes:3
pig,nonvisual,yes,4,Is it smelly?,pig:nonvisual:yes:4
pig,nonvisual,yes,5,Does it like mud?,pig:nonvisual:yes:5
pig,visual,no,1,Is it made of glass?,pig:visual:no:1
pig,visual,no,2,Does it have wings?,pig:visual:no:2
pig,visual,no,3,Does it have whiskers?,pig:visual:no:3
pig,visual,no,4,Does it have feathers?,pig:visual:no:4
pig,visual,no,5,Does it have fur?,pig:visual:no:5
pig,visual,yes,1,Is it pink?,pig:visual:yes:1
pig,visual,yes,2,Does it have a tail?,pig:visual:yes:2
pig,visual,yes,3,Does it have a snout?,pig:visual:yes:3
pig,visual,yes,4,Does it have legs?,pig:visual:yes:4
pig,visual,yes,5,Is it muddy?,pig:visual:yes:5
pineapple,nonvisual,no,1,Is it an animal?,pineapple:nonvisual:no:1
pineapple,nonvisual,no,2,Is it clothing?,pineapple:nonvisual:no:2
pineapple,nonvisual,no,3,Is it a carnivore?,pineapple:nonvisual:no:3
pineapple,nonvisual,no,4,Is it used for racing?,pineapple:nonvisual:no:4
pineapple,nonvisual,no,5,Is it a pet?,pineapple:nonvisual:no:5
pineapple,nonvisual,yes,1,Is it juicy?,pineapple:nonvisual:yes:1
pineapple,nonvisual,yes,2,Is it tropical?,pineapple:nonvisual:yes:2
pineapple,nonvisual,yes,3,Does it grow on trees?,pineapple:nonvisual:yes:3
pineapple,nonvisual,yes,4,Does it grow in Hawaii?,pineapple:nonvisual:yes:4
pineapple,nonvisual,yes,5,Is it prickly?,pineapple:nonvisual:yes:5
pineapple,visual,no,1,Does it have legs?,pineapple:visual:no:1
pineapple,visual,no,2,Does it have a seat?,pineapple:visual:no:2
pineapple,visual,no,3,Does it have whiskers?,pineapple:visual:no:3
pineapple,visual,no,4,Does it have legs?,pineapple:visual:no:4
pineapple,visual,no,5,Does it have a tail?,pineapple:visual:no:5
pineapple,visual,yes,2,Does it have an inside?,pineapple:visual:yes:2
pineapple,visual,yes,3,Does it have skin?,pineapple:visual:yes:3
pineapple,visual,yes,4,Is it yellow inside?,pineapple:visual:yes:4
pineapple,visual,yes,5,Does it have a core?,pineapple:visual:yes:5
rabbit,nonvisual,no,1,Does it live in zoos?,rabbit:nonvisual:no:1
rabbit,nonvisual,no,3,Does it roar?,rabbit:nonvisual:no:3
rabbit,nonvisual,no,4,Is it used for making jam?,rabbit:nonvisual:no:4
rabbit,nonvisual,no,5,Is it a fruit?,rabbit:nonvisual:no:5
rabbit,nonvisual,yes,1,Does it hop?,rabbit:nonvisual:yes:1
rabbit,nonvisual,yes,2,Is it a pet?,rabbit:nonvisual:yes:2
rabbit,nonvisual,yes,6,Does it make noises?,rabbit:nonvisual:yes:6
rabbit,nonvisual,yes,3,Is it edible?,rabbit:nonvisual:yes:3
rabbit,nonvisual,yes,4,Is it hunted by people?,rabbit:nonvisual:yes:4
rabbit,nonvisual,yes,5,Does it eat carrots?,rabbit:nonvisual:yes:5
rabbit,visual,no,1,Does it have spots?,rabbit:visual:no:1
rabbit,visual,no,2,Is it made of metal?,rabbit:visual:no:2
rabbit,visual,no,3,Does it have a seat?,rabbit:visual:no:3
rabbit,visual,no,4,Is it flat?,rabbit:visual:no:4
rabbit,visual,yes,1,Does it have ears?,rabbit:visual:yes:1
rabbit,visual,yes,2,Does it have feet?,rabbit:visual:yes:2
rabbit,visual,yes,3,Does it have whiskers?,rabbit:visual:yes:3
rabbit,visual,yes,4,Does it have a tail?,rabbit:visual:yes:4
raccoon,nonvisual,no,1,Does it hop?,raccoon:nonvisual:no:1
raccoon,nonvisual,no,2,Is it used for protection?,raccoon:nonvisual:no:2
raccoon,nonvisual,no,3,Is it used for holding beer?,raccoon:nonvisual:no:3
raccoon,nonvisual,yes,1,Does it eat garbage?,raccoon:nonvisual:yes:1
raccoon,nonvisual,yes,2,Is it furry?,raccoon:nonvisual:yes:2
raccoon,nonvisual,yes,3,Is it nocturnal?,raccoon:nonvisual:yes:3
raccoon,nonvisual,yes,4,Does it produce offspring?,raccoon:nonvisual:yes:4
raccoon,visual,no,1,Is it black?,raccoon:visual:no:1
raccoon,visual,no,6,Does it have a mane?,raccoon:visual:no:6
raccoon,visual,no,2,Does it have seeds?,raccoon:visual:no:2
