subj_id,computer,strategy_coded,strategy
MWPF_317,LL-George,guess_answer,Anticipated possible words after reading sentance
MWPF_318,LL-ELAINE,guess_answer,Sometimes I would assume what object they would say next based on the question.
MWPF_319,LL-Jerry,,nope just staying focused was the best strategy.
MWPF_321,LL-ELAINE,guess_answer,I tried to think of possibilities before they said the word.
MWPF_320,LL-George,guess_answer,when i saw the pictures I immediately thought of thing that would and would not fit into this category before i even saw the picture
MWPF_322,LL-Kramer,guess_answer,"If a word had been used a lot in previous trials and a question seemed like it was baiting that response (does it eat garbage for raccoon, does it hold beer for bottle) I would prepare to answer with that in mind, and that seemed to help me answer faster most of the time."
MWPF_323,LL-ELAINE,speed,"I always had my fingers on the ""y"" and ""n"""
MWPF_324,LL-Kramer,repeat_question,repeated the question once in my head before the woman spoke the term
MWPF_325,LL-George,,NA
MWPF327,LL-George,speed,fingers on both keys ready to use
MWPF326,LL-Kramer,,NA
MWPR102,LL-George,guess_answer,I would think of possible answers to the traits before they were said
MWPR103,LL-ELAINE,guess_answer,"I would read the question and think of things that I knew were true of the sentence, then clicked yes or no if the actual answer heard was true or not."
MWPR101,LL-Kramer,guess_answer,I saw myself attempting to guess what the next word was depending on the question because the words were being repeated throughout the experiment.
MWPR104,LL-Jerry,speed,I used both hands and tried to remain alert.
MWPR108,LL-Jerry,speed,Read the question and then heard the word and clicked as fast as I could
MWPR107,LL-ELAINE,guess_answer,I kept a finger on both the Y and N key and recognized a patter of words and often was able to predict the words before they were said
MWPR105,LL-Kramer,guess_answer,"i would try to think of what the word was going to be before it was said, so if it was said i could quickly pick y"
MWPR110,LL-George,,I do not have
MWPR109,LL-Kramer,speed,Be as fast as you can.
MWPR112,LL-Jerry,speed,I stayed alert and used one hand on the key board instead of two.
MWPR111,LL-ELAINE,,"I thought about the object from many perspectives; if the object could. in any situation, be described in that way, I would push Y."
MWPR113,LL-Kramer,guess_answer,I thought of possible answers before I heard the word.
MWPR114,LL-George,,looked at the last word of the sentence
MWPR115,LL-ELAINE,,I used common sense to determine if the noun fit with the question.
MWPR116,LL-Jerry,imagery,"Watched closely, listened closely, and then pictured the object in my head."
MWPR117,LL-Kramer,speed,"I kept both fingers on ""y"" and ""n"" so I could respond as quickly as possible."
MWPR118,LL-George,speed,I kept one hand on the keyboard.
MWPR120,LL-George,guess_answer,When I was given the question I thought immediately of what things could fall under that category and what things couldn't.
MWPR121,LL-ELAINE,guess_answer,"When I read the question, I thought about things that had those characteristics before hearing the word."
MWPR122,LL-Jerry,avoid_mask,Look away from screen after reading question.
MWPR119,LL-Kramer,avoid_mask,"Focus on the question, think of objects related to the question, look down on the keyboard while waiting to hear the word"
MWPR125,LL-ELAINE,guess_answer,Think of the possibilities of what could be the answer. ie Does it have a hump?  I immediately thought camel.
MWPR123,LL-Kramer,guess_answer,read the question and thought of answers that were common and then listened for the first sound of those words so I could respond faster
MWPR124,LL-George,,not space out
MWPR126,LL-Jerry,speed,"I put my hand near both the y key and the n key, so I could respond faster."
MWPR128,LL-George,,"I didn't really have a strategy, I went with the flow of the test"
MWPR127,LL-Kramer,repeat_question,Remind the questions when hearing the words
MWPR129,LL-ELAINE,guess_answer,"I read the question and thought of the nouns they could say, and how I would answer."
MWPR130,LL-Jerry,guess_answer,"In the brief second after the question was asked but before the word was said, I thought of possible answers and would see if they would match up when the word was said."
MWPR132,LL-George,,I paid attention to the initial statement and then waited for the word
MWPR131,LL-Kramer,speed,"I had a finger rest on top of the y and n keys on the keyboard, so when I would hear what the computer said, I could click the key very fast."
MWPR133,LL-ELAINE,avoid_mask,"I looked away from the colorful square at most points and visualized a possible answer to the question, making it easier to answer quicker."
MWPR135,LL-George,guess_answer,I thought of an answer to the question before the object was presented to me
MWPR134,LL-Kramer,guess_answer,Tried to anticipate what word it was going to say after reading the question.
MWPR136,LL-ELAINE,avoid_mask,Close my eyes to think about what I was hearing.
MWPR137,LL-Jerry,speed,Used a different hand for each key to try and go faster.
MWPR139,LL-George,avoid_mask,Read the question and carefully listened to word after by not looking at the screen to focus
MWPR138,LL-Kramer,,"read sentence, listened to word and envisioned the said word in head"
MWPR141,LL-Jerry,,I listened to the question and word and thought about whether or not it made sense.
MWPR140,LL-ELAINE,,I read the question and then answered.
MWPR143,LL-George,,NA
MWPR144,LL-ELAINE,speed,Put a finger on Y and a finger on N to maximize response time.
MWPR142,LL-Kramer,,listening
MWPR145,LL-Jerry,guess_answer,"I put my two fingers on Y and N keys, and after I read the question, I brainstorm things might be the yes answer for it. After I took this for a while, like after the second break, I found there are always those words I would hear, so when I see I question like if it is a tropical fruit, I think of pineapple, and I hit the yes key even before the question mark shows up. But mostly, I judge it and try to link the work I heard and the question together. I feel hesitate sometimes when I hit the key."
MWPR147,LL-George,speed,Try to press the right answer as fast as possible
MWPR146,LL-Kramer,speed,I used both hands with one finger on Y and one on N to asnwer as fast as I could
MWPR148,LL-ELAINE,guess_answer,"
I became familiar with the sounds and types of objects that we being said"
MWPR149,LL-Jerry,speed,I had my hands on the Y and N keys and watched the screen and listened to the word
MWPR151,LL-George,speed,"Hold one finger on the ""Y"" key and one finger on the ""N"" key."
MWPR150,LL-Kramer,,I didn't have a defined strategy. I just tried to answer as quickly and accurately as possible
MWPR152,LL-ELAINE,guess_answer,I kept calm and I chuckled when I got it wrong. I also had a tendency to answer the questions in my head first with a few associations (in a matter of milliseconds) and then click based on whether what was said was indeed that word or a similar word. I also noticed a repetition of the same words and so used this to predict the next answers to the questions asked.
